trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
0,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,0,1,8,64,0.0,0.5625,0.8888888888888888,0.509090909090909,2,1,28,33,19,1,3,40,52,40,19,0,0.0,DR,0.2829047929798921,0,0,3,58,3,0.0,0.0,0.04918032786885246,0.9508196721311475,0.046875,,0.0,0.0,0.0,0.0,0,dl,ur,dr,0,1,0,0,0
1,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,0,1,14,64,0.0,0.5625,0.7333333333333333,0.5102040816326531,3,0,28,33,26,2,3,32,47,31,6,1,0.015625,DR,0.531340014180167,0,0,7,51,6,0.0,0.0,0.1206896551724138,0.8793103448275862,0.09375,,0.0,0.0,0.0,0.0,0,dl,ur,dr,0,1,0,0,0
2,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,1,1,14,61,0.18032786885245902,0.5901639344262295,0.7333333333333333,0.5434782608695652,4,1,25,31,16,5,5,34,44,34,2,0,0.0,DR,0.5832068350054544,0,2,3,43,13,0.0,0.041666666666666664,0.0625,0.8958333333333334,0.21311475409836064,,0.0,0.0,0.0,0.0,0,dl,ur,dr,0,1,0,0,0
3,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,1,1,20,37,0.2972972972972973,0.6486486486486487,0.6666666666666666,0.625,3,0,14,20,13,4,2,17,21,17,4,0,0.0,DR,1.0910862444927811,0,1,9,19,8,0.0,0.034482758620689655,0.3103448275862069,0.6551724137931034,0.21621621621621623,,0.0,0.0,0.0,0.0,0,dl,ur,dr,0,1,0,0,0
4,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,1,1,24,47,0.23404255319148937,0.6170212765957447,0.64,0.5909090909090909,3,0,19,25,16,4,2,24,31,24,0,0,0.0,DR,0.7085966983474103,0,1,4,29,13,0.0,0.029411764705882353,0.11764705882352941,0.8529411764705882,0.2765957446808511,,0.0,0.0,0.0,0.0,0,dl,ur,dr,0,1,0,0,0
5,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,1,1,12,62,0.1774193548387097,0.5806451612903226,0.7692307692307693,0.5306122448979592,3,0,26,33,22,3,2,34,49,33,6,1,0.016129032258064516,DR,0.5095157180881823,0,0,6,47,9,0.0,0.0,0.11320754716981132,0.8867924528301887,0.14516129032258066,,0.0,0.0,0.0,0.0,0,dl,ur,dr,0,1,0,0,0
6,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,0,1,14,64,0.0,0.5625,0.7333333333333333,0.5102040816326531,1,0,28,35,23,2,0,38,51,38,6,0,0.0,DR,0.3999380474390277,0,0,5,58,1,0.0,0.0,0.07936507936507936,0.9206349206349206,0.015625,,0.0,0.0,0.0,0.0,0,dl,ur,dr,0,1,0,0,0
7,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,0,1,38,64,0.0,0.578125,0.5897435897435898,0.56,2,0,28,34,21,1,3,38,44,38,3,0,0.0,DR,0.8112781244591328,0,0,13,39,12,0.0,0.0,0.25,0.75,0.1875,,0.0,0.0,0.0,0.0,0,dl,ur,dr,0,1,0,0,0
8,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,1,1,10,40,0.275,0.625,0.8181818181818182,0.5517241379310345,3,0,15,22,19,6,0,14,23,14,2,1,0.025,DR,0.659459211658581,0,1,3,27,9,0.0,0.03225806451612903,0.0967741935483871,0.8709677419354839,0.225,,0.0,0.0,0.0,0.0,0,dl,ur,dr,0,1,0,0,0
9,0,size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,7,4,11,9,1,1,1,1,0,1,18,64,0.0,0.546875,0.6842105263157895,0.4888888888888889,1,0,28,35,28,2,0,33,51,33,12,2,0.03125,DR,0.4637773498877516,0,0,6,55,3,0.0,0.0,0.09836065573770492,0.9016393442622951,0.046875,,0.0,0.0,0.0,0.0,0,dl,ur,dr,0,1,0,0,0
0,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,6,0.0,0.6666666666666666,0.6666666666666666,0.0,3,0,1,2,1,2,2,0,0,0,0,0,0.0,DR,-0.0,0,0,0,2,4,0.0,0.0,0.0,1.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0,midline,midline,ul,0,0,0,0,0
1,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,12,0.0,0.5833333333333334,0.5833333333333334,0.0,3,0,4,5,3,1,3,4,4,4,0,0,0.0,DL,-0.0,0,0,7,0,5,0.0,0.0,1.0,0.0,0.4166666666666667,,0.0,0.0,0.0,0.0,0,midline,midline,ul,0,0,0,0,0
2,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,12,0.0,0.5833333333333334,0.5833333333333334,0.0,4,1,3,4,0,7,2,2,4,2,0,0,0.0,DR,0.6500224216483541,0,0,1,5,6,0.0,0.0,0.16666666666666666,0.8333333333333334,0.5,,0.0,0.0,0.0,0.0,0,midline,midline,ul,0,0,0,0,0
3,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,6,0.0,0.6666666666666666,0.6666666666666666,0.0,3,0,1,2,1,3,1,0,0,0,0,0,0.0,DR,-0.0,0,0,0,4,2,0.0,0.0,0.0,1.0,0.3333333333333333,,0.0,0.0,0.0,0.0,0,midline,midline,ul,0,0,0,0,0
4,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,10,0.0,0.6,0.6,0.0,3,0,3,4,3,2,2,2,3,2,0,0,0.0,DR,0.9852281360342515,0,0,3,4,3,0.0,0.0,0.42857142857142855,0.5714285714285714,0.3,,0.0,0.0,0.0,0.0,0,midline,midline,ul,0,0,0,0,0
5,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,26,0.0,0.5384615384615384,0.5384615384615384,0.0,3,0,11,12,10,3,3,9,13,9,0,0,0.0,DL,-0.0,0,0,7,0,19,0.0,0.0,1.0,0.0,0.7307692307692307,,0.0,0.0,0.0,0.0,0,midline,midline,ul,0,0,0,0,0
6,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,4,0.0,0.75,0.75,0.0,3,0,0,1,1,1,1,0,0,0,0,0,0.0,DR,-0.0,0,0,0,2,2,0.0,0.0,0.0,1.0,0.5,,0.0,0.0,0.0,0.0,0,midline,midline,ul,0,0,0,0,0
7,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,10,0.0,0.6,0.6,0.0,3,0,3,4,4,1,2,2,3,2,0,0,0.0,DR,-0.0,0,0,0,1,9,0.0,0.0,0.0,1.0,0.9,,0.0,0.0,0.0,0.0,0,midline,midline,ul,0,0,0,0,0
8,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,10,0.0,0.6,0.6,0.0,3,0,3,4,5,1,3,0,0,0,0,0,0.0,DL,-0.0,0,0,5,0,5,0.0,0.0,1.0,0.0,0.5,,0.0,0.0,0.0,0.0,0,midline,midline,ul,0,0,0,0,0
9,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,5,12,4,4,1,1,1,1,0,-1,22,0.0,0.5454545454545454,0.5454545454545454,0.0,3,0,9,10,8,2,2,9,12,9,0,0,0.0,DL,-0.0,0,0,4,0,18,0.0,0.0,1.0,0.0,0.8181818181818182,,0.0,0.0,0.0,0.0,0,midline,midline,ul,0,0,0,0,0
0,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,1,4,26,33,13,4,4,42,50,41,0,1,0.015625,UR,0.3999380474390277,5,58,0,0,1,0.07936507936507936,0.9206349206349206,0.0,0.0,0.015625,UL,0.015625,0.0,0.0,0.0,1,ul,dr,midline,0,0,0,0,0
1,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,8,4,12,12,0,1,1,1,0,0,-1,64,0.0,0.515625,0.515625,0.0,0,3,27,34,20,4,2,37,47,34,0,2,0.03125,UR,0.2761954276479391,3,60,0,0,1,0.047619047619047616,0.9523809523809523,0.0,0.0,0.015625,UR,0.015625,0.25,0.0,0.0,7,ul,dr,midline,0,0,0,0,0
