distance_to_goal,n_states,mean_entropy,se_entropy,mean_optimal_entropy,se_optimal_entropy,mean_jsd,se_jsd,accuracy,total_observations,is_capped
1,175,0.6385365883088093,0.0481019980579069,0.3609710000082418,0.03723695978939368,0.3758279301502043,0.025997892733642263,0.6285714285714286,1274,False
2,276,0.7624437753129478,0.03698020784747638,0.4483872735585633,0.030594935683089294,0.35041185446960615,0.0181239667268157,0.6521739130434783,3039,False
3,342,0.8744441929458717,0.03057493549534009,0.5297366228112349,0.027321139260895515,0.37511471119574263,0.01637182605934505,0.6403508771929824,5231,False
4,389,0.857086401832831,0.02982656847926529,0.5289328727562043,0.02570215486984069,0.36871871487456875,0.015018986801471502,0.6529562982005142,6712,False
5,367,0.8428799044340739,0.030622934825600853,0.5638278269853019,0.026578957178534174,0.37242513245996306,0.01574911730438446,0.6376021798365122,5700,False
6,294,0.785209915348058,0.034631881962592974,0.6193698554593473,0.029663970509546868,0.3728861250114254,0.0163096148617436,0.6462585034013606,5150,False
7,214,0.7674734166283438,0.03952152758544112,0.5541353387884166,0.0343553517951259,0.4229418707106117,0.021364477557493898,0.5887850467289719,3670,False
8,138,0.7385723950096142,0.04987067408719906,0.5694562500052258,0.042879415154079524,0.3807531196404874,0.02756419407284212,0.6014492753623188,2602,False
9,91,0.7606116895235515,0.05660747863612102,0.5494505494505495,0.05244623100101229,0.4494202551694476,0.03382482676813355,0.5714285714285714,2423,False
10,56,0.8389900913469,0.0722214767748558,0.5357142857142857,0.06724777654937654,0.4171726796443974,0.03970554284497415,0.5714285714285714,1973,False
11,33,0.7206969476656288,0.09222036942919927,0.48484848484848486,0.08834775598250455,0.42998194330836537,0.055912658198662125,0.6060606060606061,1378,False
12,22,0.7713491127219417,0.10515158238182079,0.2727272727272727,0.09718590614997248,0.4660335884489195,0.07428037303866528,0.5,1601,False
13,11,0.8407698175139395,0.16982032744248654,0.45454545454545453,0.15745916432444337,0.47912300351395315,0.10178833000765018,0.45454545454545453,581,False
14,4,0.375,0.375,0.25,0.25,0.4056390622295664,0.21126916999956527,0.75,46,False
15,2,0.6277929503357518,0.29050288371873784,0.5,0.5,0.711986308948156,0.11654905663760126,0.0,35,False
16,1,0.9922666387194963,,0.0,,0.35361781789354924,,0.0,58,False
