grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_optimal_entropy_phase1,mean_optimal_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
7,0.0,medium,10,0.67,0.09195409482755816,0.63,0.09073771725877466,0.32,0.09521904571390467,0.5511870051903627,0.02832318823249947,0.587426453105944,0.537286253436727,0.32400949033165694,0.0540126476278428,0.6836048267669814,0.2351123813017597,0.8247118569318406,0.439927232281158,0.5673401435166141,0.45757020757020755,0.25459814483846943,0.18842999158281762,0.1441314962079308,4.6,1.6,1.7899999999999998,2.34,3.97,3.16,2.63,1.55,1.98,2.0,7.37,1.8699999999999999,1.04,0.2499703735806677,0.16218320568320568,0.2532480109759522,0.31459840976017445,0.7300910240604198,0.01843767141178007,0.008579408212560386,0.018062855100766377,0.020141474714055356,0.8300000000000001,2.7,0.25,0.36,0.0,0.0,0.0
7,0.2,medium,10,0.86,0.054160256030906406,0.35,0.09803627446568496,0.11000000000000001,0.05259911279353167,0.4303557856825382,0.03228765373028426,0.6598883879283745,0.3124417173765658,0.15451609878392564,0.04812978785430054,0.8300400968571411,0.2713360462125887,0.815154489880042,0.7923018600874192,0.49079427699344363,0.39022893772893774,0.21688330633125155,0.33108540842783135,0.17878570008182873,3.9,2.7,2.88,2.9899999999999998,7.609999999999999,5.41,4.78,2.74,2.6599999999999997,4.11,16.73,3.53,4.15,0.12931850336476464,0.3571364108868652,0.3195303107143227,0.19401477503404746,0.8047443009876452,0.0018638157894736843,0.012666829527155615,0.026875236594418178,0.0009375000000000002,0.85,3.6,0.33999999999999997,0.31,0.0,0.0,0.0
7,0.4,medium,10,0.9199999999999999,0.041633319989322654,0.32,0.08666666666666667,0.06,0.04,0.4292881495167178,0.021848834363309862,0.6736472448285794,0.29640455308863023,0.1371485009471267,0.0365108927446086,0.8509269367959715,0.28824803376235836,0.8109150115654307,0.8527984617710646,0.34301304069091504,0.21742462302242896,0.1814062387348307,0.386247627934352,0.15516585552849144,4.6,2.7,3.2299999999999995,3.5700000000000003,6.81,6.42,4.03,3.05,3.71,4.36,17.64,3.55,3.63,0.3056936324903615,0.3015983787978572,0.3429019785667686,0.04980601014501271,0.8432397745839258,0.022111589622819207,0.03382910941145968,0.03388970588235294,0.000625,1.72,5.4,0.16999999999999998,0.27,0.0,0.0,0.0
7,0.6,medium,10,0.73,0.1183685393637647,0.21000000000000002,0.07666666666666667,0.22000000000000003,0.10413666234542206,0.35008847626486755,0.050342524088020965,0.6108252729799865,0.1838880655973483,0.10379875722231909,0.039640097591506405,0.8743127938377393,0.2735881486018174,0.8472195959264603,0.7807890604187097,0.16904761904761906,0.11896825396825397,0.1894044827028621,0.3326627837835302,0.23089057330046056,5.0,3.0,2.73,2.1399999999999997,6.2299999999999995,5.659999999999999,4.65,2.3,2.09,2.7399999999999998,18.39,2.0799999999999996,3.6799999999999997,0.39875613232231516,0.2180056957263954,0.2538788894209543,0.09935928253033514,0.6110758169632587,0.023280916194459836,0.01851450352216481,0.022680916232889918,0.020277281327203925,1.27,2.8,0.44000000000000006,0.29000000000000004,0.0,0.0,0.0
9,0.0,medium,10,0.39,0.12242911781471305,0.19,0.10796089827134431,0.48,0.14590712418826193,0.5550270378598723,0.02789032942089239,0.5935727024055326,0.3683041863143062,0.1032715687552348,0.06402723455850418,0.7202826299575327,0.38832727236051434,0.702576665706087,0.49766621043074777,0.7217982456140352,0.4520959595959596,0.38259475711406143,0.2550830253659503,0.17047867017916485,5.3,2.6,3.1700000000000004,2.1399999999999997,8.95,8.27,6.4,3.38,3.21,7.340000000000001,13.809999999999999,7.08,1.3299999999999998,0.3067162771989083,0.21963503128168585,0.19459875343067462,0.2790499380887312,0.693476508885797,0.03749369464787912,0.049375,0.016429292929292925,0.10849885735179854,3.25,9.1,0.45999999999999996,0.33999999999999997,0.0,0.0,0.0
9,0.2,medium,10,0.19,0.12688577540449522,0.02,0.02,0.45999999999999996,0.15506271132817342,0.4158937989093724,0.034244116641038436,0.41887497219730835,0.08930563460443938,0.0059285091543156065,0.005928509154315606,0.8073553908348318,0.5026040497964555,0.8182818602086719,0.16603857133523456,0.6556821352011577,0.13571428571428573,0.49769598060939424,0.08897324481270677,0.23554485581633475,5.9,3.0,3.3299999999999996,2.53,15.319999999999999,7.99,11.0,3.38,4.24,9.129999999999999,20.9,7.859999999999999,0.9199999999999999,0.3218072827780689,0.2583751069617389,0.2488042991886167,0.16101331107157552,0.47296132504138144,0.015085450448353674,0.0877760376878024,0.04902203816719945,0.004999999999999999,2.38,4.4,0.39,0.3,0.0,0.0,0.0
9,0.4,medium,10,0.31,0.13780017739062925,0.01,0.01,0.33999999999999997,0.1359738536958076,0.31077905768984215,0.04730171172241273,0.3183884885060534,0.26475363132524743,0.003125,0.003125,0.797587259104548,0.4939755938133835,0.8283445718818025,0.3751787378025836,0.4123311006598939,0.35801945437251986,0.4665297842352728,0.27765516338534013,0.2710400319496201,6.0,3.2,2.2,5.11,18.73,8.98,14.190000000000001,4.8,4.75,9.77,28.32,7.08,1.36,0.2883875902414101,0.2925417861558147,0.2493907380128341,0.1696798855899411,0.5447088859308894,0.0078125,0.04294318181818182,0.03233405605832076,0.010624999999999999,1.8,8.2,0.49000000000000005,0.05,0.0,0.0,0.0
9,0.6,medium,10,0.05,0.034156502553198666,0.02,0.02,0.36,0.1514375558880073,0.2211989080246059,0.03622516413152268,0.21990926118671092,0.07204545454545455,0.005333333333333333,0.005333333333333333,0.9065253170660487,0.6293918452595071,0.9252705734004852,0.15076965395157,0.22293650793650793,0.10833333333333335,0.6344518135624382,0.09669832102250267,0.399555089646194,6.1,3.7,2.58,2.05,20.65,10.85,16.360000000000003,3.21,3.8200000000000003,11.65,30.060000000000002,5.680000000000001,0.09,0.15957125030547248,0.45934456701562637,0.2031374550747465,0.17794672760415461,0.4582795709248857,0.008333333333333333,0.17232749603639846,0.024166666666666663,0.019583333333333335,5.71,14.3,0.6799999999999999,0.01,0.0,0.0,0.0
11,0.0,medium,10,0.45999999999999996,0.1284090685617215,0.19,0.05666666666666667,0.29,0.13535960336164637,0.5730642785446735,0.016182918444083143,0.5928453713261052,0.496957574575819,0.058417790417433876,0.015537428621952835,0.6681886002386923,0.3385732914255556,0.7014828970050682,0.359113600803337,0.7122621585240181,0.45499999999999996,0.32119677679129044,0.24943394159299642,0.12934957924632168,6.8,3.3,2.7,2.42,19.78,21.55,14.580000000000002,4.08,3.6700000000000004,23.09,31.71,22.259999999999998,1.6300000000000001,0.10919340824043819,0.37408372221949826,0.22092011130791311,0.29580275823215046,0.6456192946403878,0.003733087140019861,0.01831457112206425,0.0035657256330123093,0.0022016199106256206,0.86,2.8,0.11000000000000001,0.29,0.0,0.0,0.0
11,0.2,medium,10,0.27999999999999997,0.13148721948877345,0.0,0.0,0.13999999999999999,0.09910712498212337,0.41492434599506434,0.017248252804550033,0.484135403299342,0.1282479422170892,0.0,0.0,0.6964249045109152,0.49101050309823535,0.6926992291500893,0.2638107754989063,0.5324023364493006,0.23557422969187675,0.4499297921991894,0.20448714749195812,0.23410485749695842,7.1,4.3,1.9,0.5599999999999999,24.380000000000003,31.04,22.48,2.1100000000000003,2.06,30.209999999999997,47.730000000000004,26.18,1.8699999999999999,0.15818377482573157,0.30389288079431853,0.3601538676263516,0.17776947675359833,0.42648429790800646,0.0018112219326383322,0.10859375,0.030156249999999996,0.00015625,4.14,7.8,0.32,0.16,0.0,0.0,0.0
