grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_optimal_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_optimal_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,preferred_quadrant,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,preferred_corner,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
size11_comp0.0_grid0_base_medium,11,0.0,0,medium,base,base,7,4,11,9,1,1,1,1,10,10,5,0,1.0,0.5,0.0,0.5,56.7,0.582010582010582,0.6923076923076923,0.5298701298701298,0.11640870741799554,0.6794456455105566,0.5,0.27577486719699756,0.5247900705373163,0.0,0.14877645169503592,0.7413078754998529,0.7,0.32657423339778224,0.08162464355918307,0.582010582010582,567,2.5,0.2,23.9,30.1,20.3,3.0,2.0,30.4,41.3,30.2,6.0,0.5,0.0,0.013781925450936771,0.12980693452719852,0.8564111400218646,DR,0.604110303653838,0.0,0.0,0.0,0.0,,0.0,0,0.0,1.0,0.0,0.0,0.0
size11_comp0.0_grid1_base_medium,11,0.0,1,medium,base,base,7,5,12,4,4,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,11.8,0.5847457627118644,0.5847457627118644,0.0,0.0,0.7279501004030492,0.8333333333333334,0.3725930412410434,0.7279501004030492,0.8333333333333334,0.3725930412410434,0.0,0.0,0.0,0.0583558802308802,0.5847457627118644,118,3.1,0.1,3.8,4.8,3.6,2.3,2.1,2.8,3.9,2.8,0.0,0.0,0.0,0.0,0.4595238095238095,0.5404761904761906,DR,0.16352505576826054,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid2_base_medium,11,0.0,2,medium,base,base,8,4,12,12,0,1,1,1,10,8,2,0,0.8,0.2,0.0,0.2,60.3,0.5472636815920398,0.5792079207920792,0.4824120603015075,0.05422045680238332,0.5968916587627768,0.7719298245614035,0.4187717769692059,0.5461201252159988,0.7837837837837838,0.43278314139838936,0.6908189958243162,0.75,0.39285075277521647,0.21573967942608213,0.5472636815920398,603,1.8,7.2,22.0,29.3,16.3,7.9,5.7,29.4,38.8,27.4,0.6,2.1,0.07565253316135927,0.5846225396437374,0.0,0.33972492719490327,UR,0.8899747011037782,0.01858087140019861,0.07996989821251241,0.0,0.022016199106256205,UR,3.5,8,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid3_base_medium,11,0.0,3,medium,base,base,4,4,8,6,1,1,1,1,10,1,1,8,0.1,0.1,0.8,0.1,22.0,0.4954545454545455,0.4855769230769231,0.6666666666666666,0.02857142857142857,0.6697063564334624,0.6923076923076923,0.4065408915157279,0.7894904509175878,0.85,0.4786032366642183,0.2704260414863776,0.16666666666666666,0.16633307435409356,0.23587694356925124,0.4954545454545455,220,0.2,1.9,11.3,8.6,8.0,1.4,2.4,9.2,11.8,8.6,0.1,0.7,0.0,0.1,0.35293233082706765,0.5470676691729323,DR,0.6795389996023194,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0
size11_comp0.0_grid4_base_medium,11,0.0,4,medium,base,base,11,4,15,9,3,1,1,1,10,3,2,0,0.3,0.2,0.0,0.2,57.9,0.5785837651122625,0.576271186440678,0.6041666666666666,0.09427767354596622,0.6035866824071857,0.7317073170731707,0.268160140718325,0.6210424883491453,0.7941176470588235,0.25595080337605913,0.5188013392605251,0.42857142857142855,0.3274626363807593,0.1494236618675945,0.5785837651122625,579,1.0,5.0,23.1,28.8,13.2,4.7,4.0,35.0,42.5,33.8,1.0,1.2,0.06923725289654667,0.7460735425498216,0.0,0.18468920455363183,UR,0.5606367434137256,0.0,0.08650914634146342,0.0,0.0,UR,2.6,11,0.0,0.2,0.0,0.0,0.0
size11_comp0.0_grid5_base_medium,11,0.0,5,medium,base,base,11,5,16,8,4,1,1,1,10,1,1,9,0.1,0.1,0.9,0.1,17.3,0.6936416184971098,0.6845238095238095,1.0,0.06153846153846154,0.6845884891120418,0.7755102040816326,0.32199961851640574,0.7623826356020466,0.8181818181818182,0.34444147859967306,0.0,0.4,0.12451124978365313,0.1108120904039271,0.6936416184971098,173,1.4,4.4,8.4,3.1,6.0,2.5,4.7,3.1,4.5,3.0,0.0,0.3,0.4425867269984917,0.43707013574660636,0.11200980392156863,0.008333333333333333,UL,0.7745471544741904,0.0,0.016666666666666666,0.0038461538461538464,0.0,UR,0.3,2,0.4,0.1,0.0,0.0,0.0
size11_comp0.0_grid6_base_medium,11,0.0,6,medium,base,base,6,5,11,5,3,1,1,1,10,7,2,0,0.7,0.2,0.0,0.2,61.0,0.5426229508196722,0.5606060606060606,0.5093457943925234,0.04506688963210702,0.5279361012135765,0.6388888888888888,0.268459388695646,0.6828945659377271,0.6818181818181818,0.2116623078835639,0.2844299423613398,0.5714285714285714,0.35771194425748926,0.10019726321472694,0.5426229508196722,610,3.8,0.2,27.5,29.0,19.7,3.3,2.7,33.5,47.0,31.4,0.7,1.9,0.12952991452991452,0.35071225071225076,0.47220797720797714,0.047549857549857556,DL,0.6035580826550826,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.1,0.0,0.0,0.0
size11_comp0.0_grid7_base_medium,11,0.0,7,medium,base,base,9,10,19,3,8,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.5421875,0.5421875,0.0,0.0,0.7677450810144921,0.8461538461538461,0.4332195259757007,0.7677450810144921,0.8461538461538461,0.4332195259757007,0.0,0.0,0.0,0.12708497526911852,0.5421875,640,2.3,0.0,33.0,28.7,24.8,2.0,2.0,34.2,48.5,33.5,0.0,0.1,0.3377272115831438,0.6622727884168562,0.0,0.0,UR,0.7444649477255835,0.01875,0.0,0.0,0.0,UL,0.7,3,0.0,0.3,0.0,0.0,0.0
size11_comp0.0_grid8_base_medium,11,0.0,8,medium,base,base,9,7,16,6,5,1,1,1,10,10,1,0,1.0,0.1,0.0,0.1,62.4,0.5769230769230769,0.6539792387543253,0.5104477611940299,0.03333333333333333,0.7215181133916259,0.7608695652173914,0.28883730209448183,0.7504522860178945,0.7096774193548387,0.19688584919595056,0.6617208232973373,0.8666666666666667,0.4788703047514464,0.18490292040650622,0.5769230769230769,624,5.5,4.3,22.7,29.9,17.0,8.2,7.2,29.0,44.1,28.1,4.5,0.4,0.03417014020462296,0.8018739916865855,0.06256697921990276,0.10138888888888889,UR,0.6344085852087139,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.9,0.0,0.0,0.0
size11_comp0.0_grid9_base_medium,11,0.0,9,medium,base,base,8,6,14,6,4,1,1,1,10,6,5,2,0.6,0.5,0.2,0.5,51.6,0.5872093023255814,0.569047619047619,0.6666666666666666,0.1507609533326632,0.7025177741381556,0.7592592592592593,0.3313763613320215,0.8419611660554229,0.8055555555555556,0.3370519318832702,0.42363099030362084,0.6666666666666666,0.32002522022952395,0.029477734515946753,0.5872093023255814,516,5.4,0.9,22.1,23.2,16.9,5.5,3.9,24.3,34.7,23.8,3.4,0.4,0.0030303030303030303,0.04443004798818752,0.6201532778516071,0.33238637112990227,DL,0.8014283727983859,0.0,0.0,0.03181110248396925,0.0,DL,1.5,4,0.7,0.3,0.0,0.0,0.0
size11_comp0.2_grid0_base_medium,11,0.2,0,medium,base,base,5,9,14,4,5,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,11.0,0.3,0.3,0.0,0.0,0.6485897272488405,0.875,0.7321270094954135,0.6485897272488405,0.875,0.7321270094954135,0.0,0.0,0.0,0.2706430824077883,0.3,110,0.0,1.0,6.7,3.3,3.8,1.0,1.0,4.2,5.5,3.8,0.0,0.4,0.0,0.0,1.0,0.0,DL,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0
