trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,collect_all_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,0,2,1,1,11,17,0,64,0.0,0.484375,0.6666666666666666,0.8333333333333334,0.391304347826087,21,16,8,19,14,11,17,21,50,16,24,10,0.15625
1,0,collect_all_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,0,2,1,1,11,17,0,64,0.0,0.453125,0.6666666666666666,0.6666666666666666,0.3695652173913043,25,15,7,17,18,9,19,17,49,13,25,13,0.203125
2,0,collect_all_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,0,2,1,1,7,31,0,64,0.0,0.515625,0.75,0.5833333333333334,0.40625,21,18,8,17,16,11,19,17,44,15,10,7,0.109375
3,0,collect_all_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,0,2,1,1,39,43,0,64,0.0,0.546875,0.55,1.0,0.45,14,12,16,22,16,4,15,28,47,26,10,2,0.03125
4,0,collect_all_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,0,2,1,1,13,25,0,64,0.0,0.546875,0.6428571428571429,0.6666666666666666,0.47368421052631576,20,17,11,16,9,23,16,15,42,14,23,2,0.03125
5,0,collect_all_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,0,2,1,1,23,27,0,64,0.0,0.53125,0.5833333333333334,1.0,0.4444444444444444,16,13,14,21,15,11,16,21,45,20,15,6,0.09375
6,0,collect_all_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,0,2,1,1,7,21,0,64,0.0,0.5,0.75,0.6428571428571429,0.40476190476190477,24,17,8,15,14,15,12,22,43,19,16,8,0.125
7,0,collect_all_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,0,2,1,1,37,42,0,64,0.0,0.515625,0.5526315789473685,0.8,0.38095238095238093,19,14,12,19,13,13,19,18,42,16,9,6,0.09375
8,0,collect_all_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,0,2,1,1,47,51,0,64,0.0,0.5625,0.5416666666666666,1.0,0.5,15,14,15,20,17,8,16,22,45,21,5,0,0.0
9,0,collect_all_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,0,2,1,1,33,37,0,64,0.0,0.53125,0.5588235294117647,1.0,0.4230769230769231,17,14,13,20,11,9,22,21,46,19,5,3,0.046875
0,1,collect_all_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,1,2,1,1,28,14,1,38,0.5526315789473685,0.6842105263157895,0.5333333333333333,0.7142857142857143,0.8888888888888888,8,12,6,11,18,9,6,2,14,2,3,6,0.15789473684210525
1,1,collect_all_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,0,1,1,0,9,-1,0,64,0.0,0.578125,1.0,0.5,0.0,15,19,13,17,15,17,19,12,39,11,1,2,0.03125
2,1,collect_all_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,1,2,1,1,28,6,1,36,0.5833333333333334,0.7777777777777778,0.8571428571428571,0.6818181818181818,1.0,12,11,4,9,5,9,15,6,7,5,3,1,0.027777777777777776
3,1,collect_all_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,0,2,1,1,9,40,0,64,0.0,0.65625,1.0,0.6451612903225806,0.5217391304347826,16,19,15,14,20,11,16,16,29,15,1,0,0.0
4,1,collect_all_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,1,2,1,1,37,14,1,47,0.44680851063829785,0.6595744680851063,0.6,0.6086956521739131,0.8888888888888888,13,16,6,11,15,12,8,9,21,8,2,5,0.10638297872340426
5,1,collect_all_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,1,2,1,1,54,20,1,62,0.3387096774193548,0.5967741935483871,0.47619047619047616,0.5882352941176471,1.0,17,24,8,13,15,19,14,13,33,11,1,9,0.14516129032258066
6,1,collect_all_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,1,2,1,1,44,20,1,52,0.40384615384615385,0.6153846153846154,0.47619047619047616,0.625,1.0,11,18,9,14,14,17,13,7,26,6,4,9,0.17307692307692307
7,1,collect_all_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,1,2,1,1,23,8,1,31,0.6774193548387096,0.8387096774193549,0.7777777777777778,0.8,1.0,10,8,4,9,8,10,7,5,5,5,1,0,0.0
8,1,collect_all_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,1,2,1,1,20,4,1,28,0.75,0.8214285714285714,1.0,0.6875,1.0,9,10,2,7,15,7,2,3,6,2,1,3,0.10714285714285714
9,1,collect_all_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,1,2,1,1,23,8,1,63,0.3333333333333333,0.6507936507936508,0.6666666666666666,0.8,0.5897435897435898,17,17,12,17,19,9,20,14,29,14,2,2,0.031746031746031744
0,2,collect_all_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_all,7,10,3,3,6,3,13,1,1,1,1,1,1,2,1,1,22,28,1,42,0.30952380952380953,0.6428571428571429,0.6521739130434783,0.6666666666666666,0.6153846153846154,7,12,9,14,15,8,10,8,21,8,4,1,0.023809523809523808
1,2,collect_all_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_all,7,10,3,3,6,3,13,1,1,1,1,1,0,2,1,1,10,13,0,64,0.0,0.546875,0.8181818181818182,1.0,0.46,23,22,7,12,18,5,14,26,46,23,11,3,0.046875
2,2,collect_all_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_all,7,10,3,3,6,3,13,1,1,1,1,1,0,2,1,1,10,20,0,64,0.0,0.5,0.8181818181818182,0.5,0.4186046511627907,26,22,4,12,19,9,14,21,47,17,13,7,0.109375
