grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,num_trajectories,num_trajectories_0_coins,num_trajectories_1_coin,num_trajectories_2_coins,mean_coins_collected,success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_action_accuracy_phase3,spl,mean_entropy,mean_optimal_entropy,mean_jsd,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
collect_all_size11_comp0.0_grid0_base_low,11,0.0,0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,10,0,0,10,2.0,0.0,64.0,0.51875,0.5840336134453782,0.7228915662650602,0.4169278996865204,0.0,1.1486465860256616,0.8529411764705882,0.6150351451696647,0.22890419072252038,0.51875,640,19.2,15.0,11.2,18.6,14.3,11.4,17.1,20.2,45.3,17.9,14.2,5.7
collect_all_size11_comp0.0_grid1_base_low,11,0.0,1,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,10,0,1,9,1.9,0.8,48.5,0.6659793814432989,0.6639344262295082,0.6290322580645161,0.7478260869565218,0.4086081942356551,1.0427364370150731,0.8125,0.3738213443301741,0.15999440674936682,0.6659793814432989,485,12.8,15.4,7.9,12.2,14.4,12.0,12.0,8.7,20.9,7.9,1.9,3.7
collect_all_size11_comp0.0_grid2_base_low,11,0.0,2,low,base,base,collect_all,7,10,3,3,6,3,13,1,1,1,1,1,10,1,1,8,1.7,0.2,49.9,0.561122244488978,0.7913043478260869,0.6166666666666667,0.4691358024691358,0.06608751608751609,0.9193508035761442,0.7307692307692307,0.3510877720060647,0.11560980844941564,0.561122244488978,499,15.7,17.4,5.5,11.2,16.1,7.2,9.3,16.1,33.0,14.9,10.5,2.4
collect_all_size11_comp0.0_grid3_base_low,11,0.0,3,low,base,base,collect_all,6,13,7,7,3,6,19,1,1,1,1,1,10,0,3,7,1.7,0.0,61.3,0.531810766721044,0.6555023923444976,0.5844748858447488,0.32972972972972975,0.0,1.20330648802087,0.8035714285714286,0.43387750240596246,0.14609679925541805,0.531810766721044,613,25.5,11.6,10.0,13.9,19.1,12.6,13.4,14.6,32.8,13.4,1.2,8.5
collect_all_size11_comp0.0_grid4_base_low,11,0.0,4,low,base,base,collect_all,8,6,12,12,9,3,23,1,1,1,1,1,10,0,3,7,1.7,0.3,61.5,0.5398373983739837,0.3355048859934853,0.7383177570093458,0.7553191489361702,0.12533372641509435,1.1069555608794481,0.7894736842105263,0.44833248492500327,0.20335166040531089,0.5398373983739837,615,15.8,13.5,21.7,10.4,21.9,12.7,16.4,9.3,34.6,8.3,1.2,16.7
collect_all_size11_comp0.0_grid5_base_low,11,0.0,5,low,base,base,collect_all,5,9,10,10,11,3,18,1,1,1,1,1,10,3,0,7,1.4,0.2,45.1,0.5942350332594235,0.6066666666666667,0.752,0.4715909090909091,0.1532608695652174,0.9110751613146122,0.7922077922077922,0.4182847926714677,0.09259717650011569,0.5942350332594235,451,16.6,6.6,12.7,9.1,15.4,10.4,10.7,7.4,17.7,6.8,1.1,5.2
collect_all_size11_comp0.0_grid6_base_low,11,0.0,6,low,base,base,collect_all,3,12,9,9,4,5,17,1,1,1,1,1,10,0,1,9,1.9,0.6,44.5,0.5842696629213483,0.7692307692307693,0.6108597285067874,0.4941860465116279,0.34395547812620986,0.9750734987274917,0.7818181818181819,0.4713132722499976,0.1748139597707432,0.5842696629213483,445,14.9,15.2,4.4,10.0,18.4,8.7,6.4,10.0,19.7,8.2,0.2,6.2
collect_all_size11_comp0.0_grid7_base_low,11,0.0,7,low,base,base,collect_all,8,5,9,9,3,6,17,1,1,1,1,1,10,0,2,8,1.8,0.5,48.0,0.5375,0.37254901960784315,0.8947368421052632,0.7468354430379747,0.20652996054506007,1.0237393103634516,0.75,0.48370560797709367,0.2342525658447535,0.5375,480,12.2,6.5,22.0,7.0,22.7,10.0,9.1,4.6,24.6,3.2,0.7,15.8
collect_all_size11_comp0.0_grid8_base_low,11,0.0,8,low,base,base,collect_all,3,5,8,8,7,7,18,1,1,1,1,1,10,3,5,2,0.9,0.1,51.2,0.4921875,0.5157232704402516,0.4707692307692308,0.6071428571428571,0.047368421052631574,1.000464414232969,0.796875,0.4560922471631713,0.11582417445463923,0.4921875,512,18.1,15.9,8.0,9.0,14.3,9.8,11.1,14.6,30.2,14.1,0.6,2.7
collect_all_size11_comp0.0_grid9_base_low,11,0.0,9,low,base,base,collect_all,6,4,6,6,6,12,16,1,1,1,1,1,10,6,1,3,0.7,0.3,56.6,0.5017667844522968,0.46265060240963857,0.5288461538461539,0.7872340425531915,0.13369788106630212,1.0775106088345663,0.8253968253968254,0.39115637431558914,0.10632584921429766,0.5017667844522968,566,21.8,8.6,13.1,13.1,16.1,13.5,13.0,13.0,31.8,12.0,0.2,5.7
