trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,collect_all_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,1,2,1,1,10,21,1,29,0.6206896551724138,0.7931034482758621,0.8181818181818182,0.8181818181818182,0.7142857142857143,6,9,8,6,9,8,8,3,5,3,2,1,0.034482758620689655
1,0,collect_all_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,1,2,1,1,10,17,1,23,0.782608695652174,0.8695652173913043,0.8181818181818182,1.0,0.8,5,8,6,4,11,6,3,2,3,2,2,1,0.043478260869565216
2,0,collect_all_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,1,2,1,1,11,18,1,24,0.75,0.875,0.8333333333333334,1.0,0.8,5,9,6,4,7,8,6,2,2,2,0,0,0.0
3,0,collect_all_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,1,2,1,1,12,21,1,25,0.72,0.84,0.7692307692307693,0.8888888888888888,1.0,4,7,8,6,9,7,7,1,2,1,1,1,0.04
4,0,collect_all_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,1,2,1,1,9,24,1,30,0.6,0.8,0.9,0.7333333333333333,0.8,6,10,8,6,12,4,8,5,8,5,3,0,0.0
5,0,collect_all_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,1,2,1,1,13,20,1,24,0.75,0.875,0.7857142857142857,1.0,1.0,5,9,6,4,12,6,5,0,0,0,0,0,0.0
6,0,collect_all_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,1,2,1,1,7,14,1,18,1.0,1.0,1.0,1.0,1.0,2,6,6,4,12,4,1,0,0,0,0,0,0.0
7,0,collect_all_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,1,2,1,1,12,19,1,23,0.782608695652174,0.8695652173913043,0.7692307692307693,1.0,1.0,4,7,7,5,12,5,4,1,2,1,0,1,0.043478260869565216
8,0,collect_all_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,1,2,1,1,9,18,1,24,0.75,0.875,0.9,0.8888888888888888,0.8,5,9,6,4,11,5,4,3,3,3,0,0,0.0
9,0,collect_all_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,1,2,1,1,7,14,1,18,1.0,1.0,1.0,1.0,1.0,2,6,6,4,11,4,2,0,0,0,0,0,0.0
0,1,collect_all_size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,collect_all,4,3,3,3,4,3,10,1,1,1,1,1,1,2,1,1,9,2,1,23,0.43478260869565216,0.6956521739130435,1.0,0.7142857142857143,0.6153846153846154,9,5,6,3,5,9,4,4,6,4,3,1,0.043478260869565216
1,1,collect_all_size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,collect_all,4,3,3,3,4,3,10,1,1,1,1,1,1,2,1,1,9,2,1,18,0.5555555555555556,0.7777777777777778,1.0,0.7142857142857143,0.75,7,4,5,2,6,2,5,4,7,4,2,0,0.0
