grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,num_trajectories,num_trajectories_0_coins,num_trajectories_1_coin,num_trajectories_2_coins,mean_coins_collected,success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_action_accuracy_phase3,spl,mean_entropy,mean_optimal_entropy,mean_jsd,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
collect_all_size11_comp0.0_grid0_base_medium,11,0.0,0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,10,0,0,10,2.0,1.0,23.8,0.8697478991596639,0.8454545454545455,0.9069767441860465,0.8571428571428571,0.7755907046476762,0.6482749572735892,0.8367346938775511,0.43340952023173457,0.07548041527633362,0.8697478991596639,238,4.4,8.0,6.7,4.7,10.6,5.7,4.8,1.7,2.5,1.7,0.8,0.4
collect_all_size11_comp0.0_grid1_base_medium,11,0.0,1,medium,base,base,collect_all,4,3,3,3,4,3,10,1,1,1,1,1,10,0,0,10,2.0,1.0,17.9,0.776536312849162,0.96875,0.7272727272727273,0.7407407407407407,0.5923058221971266,0.9186786502070783,0.7142857142857143,0.26663565330987654,0.21759847295561577,0.776536312849162,179,6.2,3.1,5.8,2.8,3.9,4.5,4.5,4.0,5.3,4.0,2.2,0.1
collect_all_size11_comp0.0_grid2_base_medium,11,0.0,2,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,10,0,0,10,2.0,0.9,31.9,0.7962382445141066,0.8909090909090909,0.7777777777777778,0.7761904761904762,0.6287182555735076,1.106162677130117,0.8076923076923077,0.29236350923437304,0.14070466832061854,0.7962382445141066,319,9.7,8.8,4.7,8.7,9.5,7.8,8.7,4.9,9.7,4.9,1.6,0.0
collect_all_size11_comp0.0_grid3_base_medium,11,0.0,3,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,10,0,0,10,2.0,1.0,22.5,0.8844444444444445,0.8771929824561403,0.8,0.9659090909090909,0.8116115189158668,0.594725195602167,0.8,0.36651832878969626,0.14031815766744526,0.8844444444444445,225,4.8,6.5,7.1,4.1,10.8,4.3,4.3,2.1,4.9,2.0,1.1,1.3
collect_all_size11_comp0.0_grid4_base_medium,11,0.0,4,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,10,0,1,9,1.9,0.9,26.5,0.8301886792452831,0.8405797101449275,0.8187919463087249,0.851063829787234,0.6597875813334738,0.7775679596188443,0.7551020408163265,0.3528162254112419,0.1375915750915751,0.8301886792452831,265,4.1,9.8,8.9,3.6,10.8,4.6,6.2,3.7,6.7,3.5,1.5,0.6
collect_all_size11_comp0.0_grid5_base_medium,11,0.0,5,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,10,0,0,10,2.0,1.0,23.2,0.9353448275862069,0.8636363636363636,0.9901960784313726,0.9523809523809523,0.8686480186480188,0.8003161565871999,0.7857142857142857,0.33131631763381675,0.11164843948457401,0.9353448275862069,232,4.6,8.4,5.1,5.1,10.4,5.5,4.9,1.4,3.0,1.3,0.4,0.2
collect_all_size11_comp0.0_grid6_base_medium,11,0.0,6,medium,base,base,collect_all,12,3,9,9,4,5,16,1,1,1,1,1,10,0,0,10,2.0,1.0,22.6,0.8539823008849557,0.875,0.8461538461538461,0.8571428571428571,0.7181529581529581,0.7832771878357648,0.7428571428571429,0.3070574569770116,0.17040665683522827,0.8539823008849557,226,3.4,8.4,6.9,3.9,8.1,4.3,5.0,4.2,5.7,4.2,2.0,0.0
collect_all_size11_comp0.0_grid7_base_medium,11,0.0,7,medium,base,base,collect_all,4,6,4,4,8,4,12,1,1,1,1,1,10,0,0,10,2.0,1.0,16.2,0.8827160493827161,0.847457627118644,0.9545454545454546,0.864406779661017,0.775026026604974,0.7515364127089806,0.6666666666666666,0.22154761444943497,0.18947182689012754,0.8827160493827161,162,2.5,4.5,8.6,0.6,7.0,3.6,2.8,1.8,2.8,1.8,0.8,0.2
collect_all_size11_comp0.0_grid8_base_medium,11,0.0,8,medium,base,base,collect_all,5,7,4,4,13,9,18,1,1,1,1,1,10,0,0,10,2.0,1.0,25.5,0.8588235294117647,0.8157894736842105,0.7631578947368421,0.9611650485436893,0.7394151654796816,0.7113423396916171,0.8444444444444444,0.33785292625289715,0.11560513560513562,0.8588235294117647,255,7.7,6.4,8.9,2.5,10.3,4.8,5.9,3.5,5.4,3.5,0.6,0.9
collect_all_size11_comp0.0_grid9_base_medium,11,0.0,9,medium,base,base,collect_all,5,3,4,4,4,4,11,1,1,1,1,1,10,0,0,10,2.0,1.0,15.2,0.8618421052631579,0.875,0.8125,0.9166666666666666,0.7712160038104311,0.7144109325033524,0.6785714285714286,0.28100727431415556,0.19109105180533756,0.8618421052631579,152,6.4,2.4,4.7,1.7,4.4,3.0,4.6,2.2,2.9,2.2,1.1,0.0
collect_all_size11_comp0.2_grid0_base_medium,11,0.2,0,medium,base,base,collect_all,4,9,5,5,8,13,22,1,1,1,1,1,10,0,0,10,2.0,1.0,38.5,0.7584415584415585,0.8166666666666667,0.7019230769230769,0.7692307692307693,0.5894875817414389,1.1184215395796078,0.6388888888888888,0.3365832060845384,0.09168832186911381,0.7584415584415585,385,10.2,11.0,10.1,7.1,13.5,7.0,9.3,7.5,18.3,7.3,4.1,2.0
