grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,num_trajectories,num_trajectories_0_coins,num_trajectories_1_coin,num_trajectories_2_coins,mean_coins_collected,success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_action_accuracy_phase3,spl,mean_entropy,mean_optimal_entropy,mean_jsd,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
collect_all_size11_comp0.0_grid0_base_low,11,0.0,0,low,base,base,collect_all,4,6,4,4,11,13,21,1,1,1,1,1,10,0,0,10,2.0,0.0,64.0,0.51875,0.5840336134453782,0.7228915662650602,0.4169278996865204,0.0,1.1486465860256616,0.8529411764705882,0.6150351451696647,0.22890419072252038,0.51875,640,19.2,15.0,11.2,18.6,14.3,11.4,17.1,20.2,45.3,17.9,14.2,5.7
collect_all_size11_comp0.0_grid0_base_medium,11,0.0,0,medium,base,base,collect_all,8,9,7,7,10,3,18,1,1,1,1,1,10,0,0,10,2.0,1.0,23.8,0.8697478991596639,0.8454545454545455,0.9069767441860465,0.8571428571428571,0.7755907046476762,0.6482749572735892,0.8367346938775511,0.43340952023173457,0.07548041527633362,0.8697478991596639,238,4.4,8.0,6.7,4.7,10.6,5.7,4.8,1.7,2.5,1.7,0.8,0.4
collect_all_size11_comp0.0_grid1_base_low,11,0.0,1,low,base,base,collect_all,10,5,9,9,7,12,21,1,1,1,1,1,10,0,1,9,1.9,0.8,48.5,0.6659793814432989,0.6639344262295082,0.6290322580645161,0.7478260869565218,0.4086081942356551,1.0427364370150731,0.8125,0.3738213443301741,0.15999440674936682,0.6659793814432989,485,12.8,15.4,7.9,12.2,14.4,12.0,12.0,8.7,20.9,7.9,1.9,3.7
collect_all_size11_comp0.0_grid1_base_medium,11,0.0,1,medium,base,base,collect_all,4,3,3,3,4,3,10,1,1,1,1,1,10,0,0,10,2.0,1.0,17.9,0.776536312849162,0.96875,0.7272727272727273,0.7407407407407407,0.5923058221971266,0.9186786502070783,0.7142857142857143,0.26663565330987654,0.21759847295561577,0.776536312849162,179,6.2,3.1,5.8,2.8,3.9,4.5,4.5,4.0,5.3,4.0,2.2,0.1
collect_all_size11_comp0.0_grid2_base_low,11,0.0,2,low,base,base,collect_all,7,10,3,3,6,3,13,1,1,1,1,1,10,1,1,8,1.7,0.2,49.9,0.561122244488978,0.7913043478260869,0.6166666666666667,0.4691358024691358,0.06608751608751609,0.9193508035761442,0.7307692307692307,0.3510877720060647,0.11560980844941564,0.561122244488978,499,15.7,17.4,5.5,11.2,16.1,7.2,9.3,16.1,33.0,14.9,10.5,2.4
collect_all_size11_comp0.0_grid2_base_medium,11,0.0,2,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,10,0,0,10,2.0,0.9,31.9,0.7962382445141066,0.8909090909090909,0.7777777777777778,0.7761904761904762,0.6287182555735076,1.106162677130117,0.8076923076923077,0.29236350923437304,0.14070466832061854,0.7962382445141066,319,9.7,8.8,4.7,8.7,9.5,7.8,8.7,4.9,9.7,4.9,1.6,0.0
collect_all_size11_comp0.0_grid3_base_low,11,0.0,3,low,base,base,collect_all,6,13,7,7,3,6,19,1,1,1,1,1,10,0,3,7,1.7,0.0,61.3,0.531810766721044,0.6555023923444976,0.5844748858447488,0.32972972972972975,0.0,1.20330648802087,0.8035714285714286,0.43387750240596246,0.14609679925541805,0.531810766721044,613,25.5,11.6,10.0,13.9,19.1,12.6,13.4,14.6,32.8,13.4,1.2,8.5
collect_all_size11_comp0.0_grid3_base_medium,11,0.0,3,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,10,0,0,10,2.0,1.0,22.5,0.8844444444444445,0.8771929824561403,0.8,0.9659090909090909,0.8116115189158668,0.594725195602167,0.8,0.36651832878969626,0.14031815766744526,0.8844444444444445,225,4.8,6.5,7.1,4.1,10.8,4.3,4.3,2.1,4.9,2.0,1.1,1.3
collect_all_size11_comp0.0_grid4_base_low,11,0.0,4,low,base,base,collect_all,8,6,12,12,9,3,23,1,1,1,1,1,10,0,3,7,1.7,0.3,61.5,0.5398373983739837,0.3355048859934853,0.7383177570093458,0.7553191489361702,0.12533372641509435,1.1069555608794481,0.7894736842105263,0.44833248492500327,0.20335166040531089,0.5398373983739837,615,15.8,13.5,21.7,10.4,21.9,12.7,16.4,9.3,34.6,8.3,1.2,16.7
collect_all_size11_comp0.0_grid4_base_medium,11,0.0,4,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,10,0,1,9,1.9,0.9,26.5,0.8301886792452831,0.8405797101449275,0.8187919463087249,0.851063829787234,0.6597875813334738,0.7775679596188443,0.7551020408163265,0.3528162254112419,0.1375915750915751,0.8301886792452831,265,4.1,9.8,8.9,3.6,10.8,4.6,6.2,3.7,6.7,3.5,1.5,0.6
collect_all_size11_comp0.0_grid5_base_low,11,0.0,5,low,base,base,collect_all,5,9,10,10,11,3,18,1,1,1,1,1,10,3,0,7,1.4,0.2,45.1,0.5942350332594235,0.6066666666666667,0.752,0.4715909090909091,0.1532608695652174,0.9110751613146122,0.7922077922077922,0.4182847926714677,0.09259717650011569,0.5942350332594235,451,16.6,6.6,12.7,9.1,15.4,10.4,10.7,7.4,17.7,6.8,1.1,5.2
collect_all_size11_comp0.0_grid5_base_medium,11,0.0,5,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,10,0,0,10,2.0,1.0,23.2,0.9353448275862069,0.8636363636363636,0.9901960784313726,0.9523809523809523,0.8686480186480188,0.8003161565871999,0.7857142857142857,0.33131631763381675,0.11164843948457401,0.9353448275862069,232,4.6,8.4,5.1,5.1,10.4,5.5,4.9,1.4,3.0,1.3,0.4,0.2
collect_all_size11_comp0.0_grid6_base_low,11,0.0,6,low,base,base,collect_all,3,12,9,9,4,5,17,1,1,1,1,1,10,0,1,9,1.9,0.6,44.5,0.5842696629213483,0.7692307692307693,0.6108597285067874,0.4941860465116279,0.34395547812620986,0.9750734987274917,0.7818181818181819,0.4713132722499976,0.1748139597707432,0.5842696629213483,445,14.9,15.2,4.4,10.0,18.4,8.7,6.4,10.0,19.7,8.2,0.2,6.2
collect_all_size11_comp0.0_grid6_base_medium,11,0.0,6,medium,base,base,collect_all,12,3,9,9,4,5,16,1,1,1,1,1,10,0,0,10,2.0,1.0,22.6,0.8539823008849557,0.875,0.8461538461538461,0.8571428571428571,0.7181529581529581,0.7832771878357648,0.7428571428571429,0.3070574569770116,0.17040665683522827,0.8539823008849557,226,3.4,8.4,6.9,3.9,8.1,4.3,5.0,4.2,5.7,4.2,2.0,0.0
collect_all_size11_comp0.0_grid7_base_low,11,0.0,7,low,base,base,collect_all,8,5,9,9,3,6,17,1,1,1,1,1,10,0,2,8,1.8,0.5,48.0,0.5375,0.37254901960784315,0.8947368421052632,0.7468354430379747,0.20652996054506007,1.0237393103634516,0.75,0.48370560797709367,0.2342525658447535,0.5375,480,12.2,6.5,22.0,7.0,22.7,10.0,9.1,4.6,24.6,3.2,0.7,15.8
collect_all_size11_comp0.0_grid7_base_medium,11,0.0,7,medium,base,base,collect_all,4,6,4,4,8,4,12,1,1,1,1,1,10,0,0,10,2.0,1.0,16.2,0.8827160493827161,0.847457627118644,0.9545454545454546,0.864406779661017,0.775026026604974,0.7515364127089806,0.6666666666666666,0.22154761444943497,0.18947182689012754,0.8827160493827161,162,2.5,4.5,8.6,0.6,7.0,3.6,2.8,1.8,2.8,1.8,0.8,0.2
collect_all_size11_comp0.0_grid8_base_low,11,0.0,8,low,base,base,collect_all,3,5,8,8,7,7,18,1,1,1,1,1,10,3,5,2,0.9,0.1,51.2,0.4921875,0.5157232704402516,0.4707692307692308,0.6071428571428571,0.047368421052631574,1.000464414232969,0.796875,0.4560922471631713,0.11582417445463923,0.4921875,512,18.1,15.9,8.0,9.0,14.3,9.8,11.1,14.6,30.2,14.1,0.6,2.7
collect_all_size11_comp0.0_grid8_base_medium,11,0.0,8,medium,base,base,collect_all,5,7,4,4,13,9,18,1,1,1,1,1,10,0,0,10,2.0,1.0,25.5,0.8588235294117647,0.8157894736842105,0.7631578947368421,0.9611650485436893,0.7394151654796816,0.7113423396916171,0.8444444444444444,0.33785292625289715,0.11560513560513562,0.8588235294117647,255,7.7,6.4,8.9,2.5,10.3,4.8,5.9,3.5,5.4,3.5,0.6,0.9
collect_all_size11_comp0.0_grid9_base_low,11,0.0,9,low,base,base,collect_all,6,4,6,6,6,12,16,1,1,1,1,1,10,6,1,3,0.7,0.3,56.6,0.5017667844522968,0.46265060240963857,0.5288461538461539,0.7872340425531915,0.13369788106630212,1.0775106088345663,0.8253968253968254,0.39115637431558914,0.10632584921429766,0.5017667844522968,566,21.8,8.6,13.1,13.1,16.1,13.5,13.0,13.0,31.8,12.0,0.2,5.7
collect_all_size11_comp0.0_grid9_base_medium,11,0.0,9,medium,base,base,collect_all,5,3,4,4,4,4,11,1,1,1,1,1,10,0,0,10,2.0,1.0,15.2,0.8618421052631579,0.875,0.8125,0.9166666666666666,0.7712160038104311,0.7144109325033524,0.6785714285714286,0.28100727431415556,0.19109105180533756,0.8618421052631579,152,6.4,2.4,4.7,1.7,4.4,3.0,4.6,2.2,2.9,2.2,1.1,0.0
collect_all_size11_comp0.2_grid0_base_low,11,0.2,0,low,base,base,collect_all,4,4,6,6,8,10,18,1,1,1,1,1,10,1,2,7,1.6,0.0,64.0,0.53125,0.5560975609756098,0.5195530726256983,0.51953125,0.0,1.456881825843871,0.7441860465116279,0.48383865565339046,0.19468081868963807,0.53125,640,19.7,18.4,11.7,14.2,17.4,11.5,15.6,18.5,43.0,17.3,3.3,6.8
collect_all_size11_comp0.2_grid0_base_medium,11,0.2,0,medium,base,base,collect_all,4,9,5,5,8,13,22,1,1,1,1,1,10,0,0,10,2.0,1.0,38.5,0.7584415584415585,0.8166666666666667,0.7019230769230769,0.7692307692307693,0.5894875817414389,1.1184215395796078,0.6388888888888888,0.3365832060845384,0.09168832186911381,0.7584415584415585,385,10.2,11.0,10.1,7.1,13.5,7.0,9.3,7.5,18.3,7.3,4.1,2.0
collect_all_size11_comp0.2_grid1_base_low,11,0.2,1,low,base,base,collect_all,5,5,4,4,10,14,19,1,1,1,1,1,10,0,0,10,2.0,0.0,64.0,0.4546875,0.7717391304347826,0.6574074074074074,0.3386363636363636,0.0,1.2887521230312973,0.8928571428571429,0.5646983989165518,0.3479847563311433,0.4546875,640,26.9,11.1,11.8,14.2,18.8,13.6,13.6,17.0,46.8,14.3,18.6,14.1
collect_all_size11_comp0.2_grid1_base_medium,11,0.2,1,medium,base,base,collect_all,4,4,8,8,7,5,17,1,1,1,1,1,10,0,0,10,2.0,1.0,22.0,0.8863636363636364,0.8301886792452831,0.8888888888888888,0.9264705882352942,0.7939292090025933,0.7814192905166644,0.6744186046511628,0.43258200808508646,0.0957121367005088,0.8863636363636364,220,4.4,6.3,5.3,5.9,9.3,4.3,4.6,2.6,5.2,2.6,1.5,0.7
collect_all_size11_comp0.2_grid2_base_low,11,0.2,2,low,base,base,collect_all,5,3,6,6,7,11,16,1,1,1,1,1,10,0,1,9,1.9,0.0,64.0,0.540625,0.6446280991735537,0.5612903225806452,0.44976076555023925,0.0,1.2737414548831518,0.735851829303471,0.5009290385115164,0.2598349179472383,0.540625,640,17.4,14.5,15.2,16.9,17.5,12.5,15.2,17.8,41.2,16.3,3.2,5.1
collect_all_size11_comp0.2_grid2_base_medium,11,0.2,2,medium,base,base,collect_all,4,11,11,11,5,14,27,1,1,1,1,1,10,0,0,10,2.0,1.0,44.8,0.8169642857142857,0.8545454545454545,0.77,0.8549222797927462,0.6138831499079191,1.1337849464783771,0.6862745098039216,0.4053321304075494,0.06369599428417082,0.8169642857142857,448,13.4,12.2,8.5,10.6,17.5,8.0,9.4,8.7,18.0,8.6,2.6,0.5
collect_all_size11_comp0.2_grid3_base_low,11,0.2,3,low,base,base,collect_all,5,15,10,10,4,10,25,1,1,1,1,1,10,7,0,3,0.6,0.1,23.3,0.5879828326180258,0.5378151260504201,0.660377358490566,0.6229508196721312,0.06756756756756757,0.8461645985074016,0.6956521739130435,0.44912012281211466,0.08347166118905247,0.5879828326180258,233,6.1,6.4,3.3,7.5,9.2,4.9,3.8,4.4,9.6,3.4,0.7,3.1
collect_all_size11_comp0.2_grid3_base_medium,11,0.2,3,medium,base,base,collect_all,8,10,4,4,12,8,20,1,1,1,1,1,10,0,0,10,2.0,1.0,28.4,0.8556338028169014,0.8292682926829268,0.8979591836734694,0.8660714285714286,0.7238276106263484,0.6813343684593878,0.7013193396498549,0.3847125780697289,0.05840003811701924,0.8556338028169014,284,3.4,9.7,6.7,8.6,12.7,5.9,5.4,3.4,5.4,3.1,0.4,1.0
collect_all_size11_comp0.2_grid4_base_low,11,0.2,4,low,base,base,collect_all,4,7,9,9,11,4,17,1,1,1,1,1,10,5,0,5,1.0,0.2,59.3,0.403035413153457,0.32717678100263853,0.6274509803921569,0.45535714285714285,0.08396341463414633,1.2846909593092732,0.6062090725922766,0.41347489733569015,0.06689522456245305,0.403035413153457,593,21.5,13.5,10.9,13.4,18.0,14.4,14.1,11.8,37.1,10.2,0.7,13.5
collect_all_size11_comp0.2_grid4_base_medium,11,0.2,4,medium,base,base,collect_all,8,5,9,9,7,8,21,1,1,1,1,1,9,0,0,9,2.0,1.0,28.77777777777778,0.833976833976834,0.803030303030303,0.7966101694915254,0.92,0.744887827550871,0.8545883089539507,0.5549972561503286,0.29365981026654653,0.11094762283786674,0.833976833976834,259,9.0,9.88888888888889,7.666666666666667,2.111111111111111,11.88888888888889,5.888888888888889,5.333333333333333,4.444444444444445,8.222222222222221,4.222222222222222,2.2222222222222223,1.6666666666666667
collect_all_size11_comp0.2_grid5_base_low,11,0.2,5,low,base,base,collect_all,4,11,7,7,5,8,19,1,1,1,1,1,10,2,3,5,1.3,0.0,51.8,0.4691119691119691,0.5961538461538461,0.49743589743589745,0.31736526946107785,0.0,1.2373731741985703,0.6271186440677966,0.570981738350433,0.30610007882598006,0.4691119691119691,518,20.1,9.9,10.8,10.9,18.4,11.0,11.8,9.4,26.9,7.8,0.7,11.3
collect_all_size11_comp0.2_grid5_base_medium,11,0.2,5,medium,base,base,collect_all,5,12,7,7,3,6,18,1,1,1,1,1,10,0,0,10,2.0,1.0,23.6,0.8686440677966102,0.8870967741935484,0.9047619047619048,0.8222222222222222,0.7948613671908561,0.8288725340983077,0.4642857142857143,0.2968199669623602,0.1591902145473574,0.8686440677966102,236,1.9,10.2,5.7,5.7,10.6,4.0,5.3,2.5,4.3,2.4,0.6,0.5
collect_all_size11_comp0.2_grid6_base_low,11,0.2,6,low,base,base,collect_all,13,10,9,9,5,4,24,1,1,1,1,1,10,1,3,6,1.5,0.4,48.9,0.6155419222903885,0.7267080745341615,0.5566037735849056,0.5689655172413793,0.22407941633241343,1.0895337413200745,0.6226415094339622,0.38101087471601575,0.038419812265884735,0.6155419222903885,489,12.0,17.2,6.8,12.9,16.9,7.5,12.3,11.2,24.0,9.9,2.0,7.0
collect_all_size11_comp0.2_grid6_base_medium,11,0.2,6,medium,base,base,collect_all,4,3,5,5,6,7,14,1,1,1,1,1,10,0,0,10,2.0,1.0,22.2,0.7927927927927928,0.74,0.7926829268292683,0.8222222222222222,0.6528083649797205,1.0052522999908484,0.6,0.30929191830716435,0.23417032674927415,0.7927927927927928,222,5.2,6.1,4.2,6.7,8.6,4.2,5.1,3.3,8.2,3.3,1.4,1.0
collect_all_size11_comp0.2_grid7_base_low,11,0.2,7,low,base,base,collect_all,8,3,7,7,6,3,16,1,1,1,1,1,10,1,8,1,1.0,0.0,64.0,0.4109375,0.5157894736842106,0.40160642570281124,0.2978723404255319,0.0,1.2354756451493882,0.6666666666666666,0.5213354701023145,0.21495750988484297,0.4109375,640,24.0,13.4,13.8,12.5,16.8,13.6,15.5,16.5,42.2,14.3,3.1,12.7
collect_all_size11_comp0.2_grid7_base_medium,11,0.2,7,medium,base,base,collect_all,13,8,5,5,9,6,22,1,1,1,1,1,10,0,0,10,2.0,1.0,27.3,0.8901098901098901,0.9052631578947369,0.9122807017543859,0.8677685950413223,0.8143060013771916,0.7135816067140278,0.5952380952380952,0.4056929603223934,0.19266130694702124,0.8901098901098901,273,8.7,9.9,2.7,5.8,12.9,6.8,4.0,2.2,3.9,2.2,0.3,0.5
collect_all_size11_comp0.2_grid8_base_low,11,0.2,8,low,base,base,collect_all,5,3,4,4,4,8,11,1,1,1,1,1,10,1,4,5,1.4,0.3,47.4,0.46835443037974683,0.4793388429752066,0.4489795918367347,0.47058823529411764,0.16672794117647058,1.2048630805185614,0.6507936507936508,0.4424070453541733,0.15859540325079172,0.46835443037974683,474,13.6,13.6,8.7,11.5,13.8,9.5,11.4,11.7,27.0,10.1,0.8,7.0
collect_all_size11_comp0.2_grid8_base_medium,11,0.2,8,medium,base,base,collect_all,5,11,8,8,7,7,20,1,1,1,1,1,10,0,0,10,2.0,1.0,28.0,0.8107142857142857,0.8813559322033898,0.7575757575757576,0.8426966292134831,0.738677229557456,0.739986047905901,0.5581395348837209,0.3839838811397771,0.10664103338521944,0.8107142857142857,280,6.2,9.0,8.8,3.9,11.9,4.5,8.0,2.4,6.2,2.4,1.1,2.5
collect_all_size11_comp0.2_grid9_base_low,11,0.2,9,low,base,base,collect_all,5,6,7,7,3,8,16,1,1,1,1,1,10,0,1,9,1.9,0.8,50.7,0.5956607495069034,0.7391304347826086,0.5643564356435643,0.5168539325842697,0.2965902451616737,1.1992279970633564,0.48058382361425367,0.29192776692652045,0.291332869979576,0.5956607495069034,507,14.3,13.5,9.8,13.0,10.7,10.9,15.3,12.6,31.7,11.5,2.5,5.2
collect_all_size11_comp0.2_grid9_base_medium,11,0.2,9,medium,base,base,collect_all,11,12,3,3,7,4,18,1,1,1,1,1,10,0,0,10,2.0,1.0,22.6,0.9026548672566371,1.0,0.8947368421052632,0.7662337662337663,0.8125827505827505,0.48659131448034104,0.6744186046511628,0.3857690378211954,0.10164138187394003,0.9026548672566371,226,6.8,4.8,9.4,1.6,8.1,5.9,4.8,2.8,3.6,2.8,2.2,0.2
collect_all_size11_comp0.4_grid0_base_low,11,0.4,0,low,base,base,collect_all,11,10,11,11,7,10,28,1,1,1,1,1,10,0,8,2,1.2,0.0,64.0,0.5,0.5909090909090909,0.4597402597402597,0.37142857142857144,0.0,1.3551981925900587,0.41156015629507225,0.4757709280677239,0.16708289098639484,0.5,640,14.0,21.5,14.6,13.6,20.3,13.8,15.9,12.4,37.3,10.2,1.8,15.2
collect_all_size11_comp0.4_grid0_base_medium,11,0.4,0,medium,base,base,collect_all,6,3,5,5,9,6,17,1,1,1,1,1,7,0,0,7,2.0,1.0,26.714285714285715,0.7754010695187166,0.7547169811320755,0.7333333333333333,0.8243243243243243,0.6618882638525496,0.9264956220696712,0.2769342742168115,0.2623716230470916,0.07398058930316995,0.7754010695187166,187,8.428571428571429,6.714285714285714,6.142857142857143,5.428571428571429,10.0,6.428571428571429,4.714285714285714,4.571428571428571,11.0,4.142857142857143,2.142857142857143,2.2857142857142856
collect_all_size11_comp0.4_grid1_base_low,11,0.4,1,low,base,base,collect_all,3,11,10,10,10,6,19,1,1,1,1,1,10,0,5,5,1.5,0.0,64.0,0.4359375,0.378125,0.5152671755725191,0.39655172413793105,0.0,1.3460964044002368,0.4568743303700206,0.44961011138197277,0.09013712360190647,0.4359375,640,13.3,16.7,15.3,18.4,17.1,15.8,14.7,14.8,40.8,11.1,0.9,18.6
collect_all_size11_comp0.4_grid1_base_medium,11,0.4,1,medium,base,base,collect_all,3,5,8,8,7,13,20,1,1,1,1,1,7,0,0,7,2.0,1.0,37.142857142857146,0.7884615384615384,0.65625,0.8421052631578947,0.825,0.5475304332003611,0.9355599279490361,0.5506037879224943,0.28192281438414896,0.1572646076234593,0.7884615384615384,260,12.142857142857142,8.285714285714286,10.857142857142858,5.714285714285714,13.285714285714286,9.285714285714286,6.571428571428571,6.714285714285714,15.714285714285714,6.285714285714286,2.2857142857142856,1.8571428571428572
collect_all_size11_comp0.4_grid2_base_low,11,0.4,2,low,base,base,collect_all,3,6,7,7,7,14,20,1,1,1,1,1,10,2,2,6,1.4,0.2,62.8,0.4601910828025478,0.3838383838383838,0.47808764940239046,0.5195530726256983,0.06915052160953801,1.2892140829081034,0.5,0.4871458427653405,0.23777427928440018,0.4601910828025478,628,21.3,14.2,13.5,13.8,18.8,15.2,12.8,15.0,41.2,12.4,0.3,19.1
collect_all_size11_comp0.4_grid2_base_medium,11,0.4,2,medium,base,base,collect_all,10,10,8,8,10,6,24,1,1,1,1,1,9,0,0,9,2.0,1.0,48.333333333333336,0.7149425287356321,0.7027027027027027,0.7039473684210527,0.7551020408163265,0.5065000727695228,0.8730281616996303,0.41830047172532664,0.45878402092781984,0.2104583571564704,0.7149425287356321,435,15.11111111111111,12.555555555555555,8.88888888888889,10.88888888888889,14.222222222222221,10.777777777777779,10.444444444444445,10.333333333333334,20.666666666666668,9.88888888888889,1.7777777777777777,2.7777777777777777
collect_all_size11_comp0.4_grid3_base_low,11,0.4,3,low,base,base,collect_all,9,7,6,6,10,6,21,1,1,1,1,1,10,4,2,4,1.0,0.2,49.5,0.503030303030303,0.4942528735632184,0.4619289340101523,0.7837837837837838,0.08103896103896105,1.1491269072012755,0.4291473404562194,0.4311841160406424,0.18234184729613798,0.503030303030303,495,12.0,11.1,11.3,15.1,12.9,12.2,11.6,11.8,31.9,10.1,2.6,9.7
collect_all_size11_comp0.4_grid3_base_medium,11,0.4,3,medium,base,base,collect_all,15,9,6,6,4,6,19,1,1,1,1,1,9,0,0,9,2.0,1.0,24.77777777777778,0.8475336322869955,0.7966101694915254,0.9047619047619048,0.9047619047619048,0.7718950775472515,0.7318008669740417,0.4290726852118947,0.32071778909796994,0.13699592588481477,0.8475336322869955,223,5.777777777777778,8.333333333333334,9.333333333333334,1.1111111111111112,9.666666666666666,5.666666666666667,5.444444444444445,2.5555555555555554,4.555555555555555,2.4444444444444446,0.8888888888888888,1.5555555555555556
collect_all_size11_comp0.4_grid4_base_low,11,0.4,4,low,base,base,collect_all,13,3,10,10,9,5,22,1,1,1,1,1,10,1,3,6,1.5,0.0,64.0,0.4703125,0.4697508896797153,0.5168067226890757,0.38016528925619836,0.0,1.3722209772356218,0.4750977500432694,0.49537247123336803,0.1454286641718205,0.4703125,640,21.6,14.6,10.3,17.5,18.7,15.2,15.6,13.5,41.3,10.5,4.6,16.2
collect_all_size11_comp0.4_grid4_base_medium,11,0.4,4,medium,base,base,collect_all,6,8,4,4,10,12,22,1,1,1,1,1,7,0,0,7,2.0,1.0,26.857142857142858,0.898936170212766,0.8461538461538461,0.9375,0.9230769230769231,0.8314251430014977,0.5666699893740491,0.5348837209302325,0.4564074708645585,0.04904023624953856,0.898936170212766,188,7.857142857142857,3.5714285714285716,7.714285714285714,7.714285714285714,14.857142857142858,3.7142857142857144,4.571428571428571,2.7142857142857144,4.0,2.7142857142857144,0.8571428571428571,0.5714285714285714
collect_all_size11_comp0.4_grid5_base_low,11,0.4,5,low,base,base,collect_all,5,9,12,12,3,11,24,1,1,1,1,1,10,0,1,9,1.9,0.2,58.3,0.5300171526586621,0.6296296296296297,0.6785714285714286,0.27918781725888325,0.13545310015898254,1.4769928229566995,0.5490196078431373,0.5090190082318887,0.13960324479820702,0.5300171526586621,583,18.0,15.5,12.6,12.2,23.6,11.9,12.7,9.1,31.3,8.3,2.4,12.1
collect_all_size11_comp0.4_grid5_base_medium,11,0.4,5,medium,base,base,collect_all,6,3,5,5,12,11,20,1,1,1,1,1,10,0,0,10,2.0,1.0,28.6,0.8216783216783217,0.967741935483871,0.8769230769230769,0.7789473684210526,0.7170451416018386,0.742367351734075,0.4787200581563059,0.2674229979955612,0.10683447689261646,0.8216783216783217,286,10.2,5.0,5.6,7.7,10.3,7.4,6.4,3.4,6.7,3.3,1.4,1.5
collect_all_size11_comp0.4_grid6_base_low,11,0.4,6,low,base,base,collect_all,5,9,6,6,8,8,19,1,1,1,1,1,10,0,1,9,1.9,0.2,59.3,0.5598650927487352,0.5891089108910891,0.6081081081081081,0.5061728395061729,0.09630788485607009,1.151521270567393,0.47966583334935897,0.4740235066990067,0.10998568711001969,0.5598650927487352,593,18.5,17.4,9.4,14.0,15.7,11.2,15.3,16.1,34.8,14.3,4.1,8.3
collect_all_size11_comp0.4_grid6_base_medium,11,0.4,6,medium,base,base,collect_all,7,6,5,5,8,7,19,1,1,1,1,1,7,0,0,7,2.0,1.0,26.428571428571427,0.8324324324324325,0.7833333333333333,0.7868852459016393,0.921875,0.7393048408174459,0.6205853629534607,0.5142857142857142,0.2549850471110929,0.10931457431457431,0.8324324324324325,185,1.8571428571428572,9.0,4.428571428571429,11.142857142857142,10.571428571428571,5.571428571428571,6.428571428571429,2.857142857142857,5.714285714285714,2.7142857142857144,1.0,1.4285714285714286
collect_all_size11_comp0.4_grid7_base_low,11,0.4,7,low,base,base,collect_all,10,11,5,5,5,4,19,1,1,1,1,1,10,6,3,1,0.5,0.1,52.6,0.37072243346007605,0.3524416135881104,0.4878048780487805,0.6428571428571429,0.03275862068965517,1.0363387308341152,0.4212152027221934,0.3594513290317065,0.23725420602177336,0.37072243346007605,526,13.7,6.8,24.2,7.9,18.5,10.9,11.1,11.1,39.1,8.1,0.3,20.0
