trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,collect_one_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,0,2,1,1,8,25,0,64,0.0,0.4375,1.0,0.34545454545454546,0.0,25,18,6,11,21,12,10,13,34,10,0,14,0.21875
1,0,collect_one_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,1,0,0,0,-1,-1,0,9,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0,4,1,4,5,2,0,1,1,1,0,0,0.0
2,0,collect_one_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,1,2,1,1,18,36,1,44,0.38636363636363635,0.5909090909090909,0.6842105263157895,0.52,0.0,6,19,8,11,15,9,12,7,19,5,2,9,0.20454545454545456
3,0,collect_one_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,0,1,0,1,-1,15,0,64,0.0,0.515625,0.875,0.3958333333333333,0.0,26,18,7,13,18,11,15,19,40,17,1,8,0.125
4,0,collect_one_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,0,2,1,1,32,59,0,64,0.0,0.390625,0.48484848484848486,0.2903225806451613,0.0,7,35,8,14,35,13,11,4,40,3,1,26,0.40625
5,0,collect_one_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,0,1,1,0,19,-1,0,64,0.0,0.40625,0.6,0.3181818181818182,0.0,7,37,7,13,21,15,12,15,43,11,1,24,0.375
6,0,collect_one_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,0,2,1,1,11,31,0,64,0.0,0.40625,0.8333333333333334,0.3076923076923077,0.0,24,22,6,10,28,11,11,9,32,6,1,21,0.328125
7,0,collect_one_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,1,1,0,1,-1,15,1,27,0.6296296296296297,0.8148148148148148,0.875,0.7272727272727273,0.0,7,11,3,6,11,5,6,4,6,4,0,0,0.0
8,0,collect_one_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,0,2,1,1,9,31,0,64,0.0,0.390625,0.9,0.2962962962962963,0.0,27,22,5,9,34,9,6,12,34,9,1,23,0.359375
9,0,collect_one_size11_comp0.0_grid0_base_low,11,0.0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,0,2,1,1,9,32,0,64,0.0,0.484375,0.9,0.4074074074074074,0.0,20,27,5,11,22,13,14,12,32,11,2,11,0.171875
0,1,collect_one_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_one,8,6,10,10,7,3,9,1,1,1,1,1,0,1,0,1,-1,35,0,64,0.0,0.25,0.2222222222222222,0.2857142857142857,0.0,15,3,32,14,29,12,11,11,44,9,1,32,0.5
1,1,collect_one_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_one,8,6,10,10,7,3,9,1,1,1,1,1,1,1,0,1,-1,45,1,51,0.17647058823529413,0.2549019607843137,0.1956521739130435,0.8,0.0,8,4,36,3,28,10,11,1,39,0,0,34,0.6666666666666666
