trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
0,0,collect_one_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,1,2,1,1,7,18,1,34,0.47058823529411764,0.7352941176470589,1.0,0.6538461538461539,0.0,8,8,13,5,15,6,7,5,9,5,2,0,0.0
1,0,collect_one_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,1,2,1,1,7,20,1,46,0.34782608695652173,0.6739130434782609,1.0,0.6052631578947368,0.0,12,12,15,7,6,11,15,13,17,13,2,0,0.0
2,0,collect_one_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,1,2,1,1,15,26,1,48,0.3333333333333333,0.6666666666666666,0.75,0.625,0.0,10,10,18,10,14,11,13,9,20,9,2,0,0.0
3,0,collect_one_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,1,2,1,1,7,12,1,32,0.5,0.75,1.0,0.6666666666666666,0.0,8,8,12,4,15,7,4,5,8,5,3,0,0.0
4,0,collect_one_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,1,2,1,1,9,4,1,18,0.8888888888888888,1.0,1.0,1.0,0.0,5,5,8,0,10,4,3,0,0,0,0,0,0.0
5,0,collect_one_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,1,2,1,1,15,8,1,30,0.5333333333333333,0.8,0.7777777777777778,0.8095238095238095,0.0,9,9,10,2,9,9,7,4,5,4,1,0,0.0
6,0,collect_one_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,1,2,1,1,9,16,1,32,0.5,0.75,0.9,0.6818181818181818,0.0,8,8,12,4,10,7,10,4,9,4,3,0,0.0
7,0,collect_one_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,1,2,1,1,7,18,1,46,0.34782608695652173,0.6739130434782609,1.0,0.6052631578947368,0.0,14,14,13,5,13,9,14,9,14,9,5,0,0.0
8,0,collect_one_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,1,2,1,1,7,14,1,30,0.5333333333333333,0.7666666666666667,1.0,0.6818181818181818,0.0,7,7,12,4,13,8,5,3,9,3,2,0,0.0
9,0,collect_one_size11_comp0.0_grid0_base_medium,11,0.0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,1,2,1,1,7,12,1,30,0.5333333333333333,0.7666666666666667,1.0,0.6818181818181818,0.0,7,7,12,4,10,7,9,3,8,3,4,0,0.0
