grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,num_trajectories,num_trajectories_0_coins,num_trajectories_1_coin,num_trajectories_2_coins,mean_coins_collected,success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_action_accuracy_phase3,spl,mean_entropy,mean_optimal_entropy,mean_jsd,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
collect_one_size11_comp0.0_grid0_base_medium,11,0.0,0,medium,base,base,collect_one,8,5,5,5,8,13,16,1,1,1,1,1,10,0,0,10,2.0,1.0,34.6,0.7369942196531792,0.9204545454545454,0.6744186046511628,0.0,0.49884626314293834,0.9156796965256797,0.8297872340425532,0.3205347130593686,0.17084357523171198,0.7369942196531792,346,8.8,8.8,12.5,4.5,11.5,7.9,8.7,5.5,9.9,5.5,2.4,0.0
collect_one_size11_comp0.0_grid1_base_medium,11,0.0,1,medium,base,base,collect_one,11,4,11,11,4,7,11,1,1,1,1,1,10,0,0,10,2.0,1.0,22.9,0.7292576419213974,0.7727272727272727,0.7116564417177914,0.0,0.48826662065792503,0.687607432225871,0.7441860465116279,0.39244971733176537,0.10616463639719456,0.7292576419213974,229,9.2,3.5,5.6,4.6,8.0,5.7,5.2,3.0,3.8,2.6,0.6,0.5
collect_one_size11_comp0.0_grid2_base_medium,11,0.0,2,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,10,0,1,9,1.9,1.0,20.8,0.7932692307692307,0.9444444444444444,0.7132352941176471,0.0,0.5569805907405528,0.7794931325948683,0.7560975609756098,0.32491383586486405,0.10646974976243274,0.7932692307692307,208,6.5,4.5,2.4,7.4,7.8,3.9,5.3,2.8,4.3,2.8,1.2,0.0
collect_one_size11_comp0.0_grid3_base_medium,11,0.0,3,medium,base,base,collect_one,7,9,6,6,4,8,11,1,1,1,1,1,10,0,0,10,2.0,1.0,28.2,0.6950354609929078,0.8365384615384616,0.6123595505617978,0.0,0.40139098704615944,0.7791578357865591,0.8157894736842105,0.29323039640513743,0.06669488192431705,0.6950354609929078,282,3.6,9.6,6.0,9.0,12.6,4.9,5.5,4.2,8.2,4.2,2.0,0.0
collect_one_size11_comp0.0_grid4_base_medium,11,0.0,4,medium,base,base,collect_one,4,5,9,9,4,9,8,1,1,1,1,1,10,0,0,10,2.0,1.0,28.3,0.6501766784452296,0.847457627118644,0.5982142857142857,0.0,0.2881081663434605,0.9228249243783079,0.7659574468085106,0.37536392874424335,0.11784486199379814,0.6501766784452296,283,7.0,10.9,5.2,5.2,11.1,5.6,6.2,4.4,7.4,4.3,0.9,0.1
collect_one_size11_comp0.0_grid5_base_medium,11,0.0,5,medium,base,base,collect_one,3,9,6,6,8,8,11,1,1,1,1,1,10,0,0,10,2.0,1.0,22.3,0.7309417040358744,0.9166666666666666,0.6951871657754011,0.0,0.5024440832993802,0.6286252800637125,0.7777777777777778,0.3726563196992999,0.19974426807760146,0.7309417040358744,223,6.8,3.8,5.2,6.5,10.6,3.4,5.8,1.5,2.4,1.4,0.4,0.7
collect_one_size11_comp0.0_grid6_base_medium,11,0.0,6,medium,base,base,collect_one,5,5,8,8,13,5,10,1,1,1,1,1,10,0,0,10,2.0,1.0,29.8,0.6610738255033557,0.8024691358024691,0.6082949308755761,0.0,0.34043870359659834,0.8354647323784705,0.8,0.31406704289969034,0.13467965367965368,0.6610738255033557,298,6.8,9.7,4.1,9.1,13.2,6.5,6.4,2.5,6.1,2.5,1.2,0.3
collect_one_size11_comp0.0_grid7_base_medium,11,0.0,7,medium,base,base,collect_one,4,11,7,7,7,12,11,1,1,1,1,1,10,0,0,10,2.0,1.0,29.7,0.6835016835016835,0.8979591836734694,0.6411290322580645,0.0,0.3818072338745136,0.7588536971501938,0.8070175438596491,0.330261688349407,0.07522786667523512,0.6835016835016835,297,2.8,10.8,7.6,8.5,11.6,5.2,8.2,3.7,4.2,3.7,0.9,0.1
collect_one_size11_comp0.0_grid8_base_medium,11,0.0,8,medium,base,base,collect_one,9,10,9,9,6,5,15,1,1,1,1,1,10,1,0,9,1.8,0.9,25.4,0.7559055118110236,0.8942307692307693,0.66,0.0,0.5015905991896525,0.6249951585234339,0.8125,0.46395574561492725,0.05707799145299148,0.7559055118110236,254,6.0,7.2,8.1,4.0,11.3,5.7,5.1,2.1,3.4,1.7,1.3,0.7
collect_one_size11_comp0.0_grid9_base_medium,11,0.0,9,medium,base,base,collect_one,11,8,7,7,3,8,14,1,1,1,1,1,10,0,1,9,1.9,1.0,29.4,0.7414965986394558,0.9333333333333333,0.6091954022988506,0.0,0.5243023129429155,0.7939208263806448,0.8148148148148148,0.24490683780406708,0.15007136841932162,0.7414965986394558,294,10.5,2.3,10.3,6.3,12.8,5.8,6.8,3.0,6.1,3.0,1.6,0.2
collect_one_size11_comp0.2_grid0_base_medium,11,0.2,0,medium,base,base,collect_one,8,3,9,9,3,6,9,1,1,1,1,1,10,0,1,9,1.9,1.0,21.5,0.7023255813953488,0.9047619047619048,0.653179190751445,0.0,0.4306079168509509,0.8644098983321634,0.5548402344426084,0.2797870050256982,0.2140753318372804,0.7023255813953488,215,8.4,2.3,5.8,5.0,7.0,4.7,5.2,3.6,5.8,3.6,1.5,0.5
collect_one_size11_comp0.2_grid1_base_medium,11,0.2,1,medium,base,base,collect_one,6,9,9,9,4,5,10,1,1,1,1,1,10,0,2,8,1.8,1.0,28.0,0.6571428571428571,0.7931034482758621,0.5958549222797928,0.0,0.3815393941310419,0.7664989263976251,0.5021785256595168,0.37743229266010164,0.09190164410752646,0.6571428571428571,280,6.1,8.6,8.0,5.2,12.0,3.7,5.3,5.8,9.1,5.5,1.5,1.1
collect_one_size11_comp0.2_grid2_base_medium,11,0.2,2,medium,base,base,collect_one,11,8,11,11,5,8,16,1,1,1,1,1,10,0,0,10,2.0,1.0,39.7,0.6649874055415617,0.7248322147651006,0.6290322580645161,0.0,0.4334999975364444,1.0337945897398142,0.59375,0.28426512927436365,0.1774044111015618,0.6649874055415617,397,5.4,12.1,14.8,7.2,17.1,8.7,6.9,5.6,11.8,5.0,0.8,2.7
collect_one_size11_comp0.2_grid3_base_medium,11,0.2,3,medium,base,base,collect_one,11,5,8,8,3,7,12,1,1,1,1,1,10,0,0,10,2.0,1.0,20.9,0.784688995215311,0.8888888888888888,0.7397260273972602,0.0,0.5812648221343873,0.7544369263369562,0.6928101562950723,0.377398595937733,0.14314513611388613,0.784688995215311,209,3.5,7.4,7.0,3.0,7.0,5.4,4.9,2.6,3.8,2.5,1.4,0.1
collect_one_size11_comp0.2_grid4_base_medium,11,0.2,4,medium,base,base,collect_one,6,5,9,9,5,10,11,1,1,1,1,1,10,0,0,10,2.0,1.0,35.7,0.6582633053221288,0.7378640776699029,0.6259842519685039,0.0,0.318517329159196,0.9900065690360071,0.5142537234349428,0.2931534620051774,0.1429711819261256,0.6582633053221288,357,9.0,12.6,5.1,9.0,13.0,6.3,7.3,8.1,13.5,7.9,2.0,1.7
collect_one_size11_comp0.2_grid5_base_medium,11,0.2,5,medium,base,base,collect_one,5,7,10,10,10,8,15,1,1,1,1,1,10,0,0,10,2.0,1.0,38.7,0.6718346253229974,0.9012345679012346,0.6111111111111112,0.0,0.3963841900867875,0.8894592757542578,0.6333333333333333,0.40542792744861067,0.0917474898395951,0.6718346253229974,387,8.0,10.4,8.9,11.4,16.6,7.5,7.4,6.2,13.7,5.9,1.8,1.7
collect_one_size11_comp0.2_grid6_base_medium,11,0.2,6,medium,base,base,collect_one,4,6,6,6,8,8,12,1,1,1,1,1,10,0,0,10,2.0,1.0,29.2,0.6815068493150684,0.8333333333333334,0.6422413793103449,0.0,0.4247662000846585,0.8460429384544769,0.5813953488372093,0.34459739477229195,0.0950786299933811,0.6815068493150684,292,5.9,7.5,6.3,9.5,10.8,6.0,6.3,5.1,9.8,5.1,1.7,1.4
collect_one_size11_comp0.2_grid7_base_medium,11,0.2,7,medium,base,base,collect_one,9,4,13,13,4,9,13,1,1,1,1,1,10,0,1,9,1.9,1.0,35.5,0.6591549295774648,0.8229166666666666,0.5984555984555985,0.0,0.38600935238866274,1.0114461054409687,0.6521739130434783,0.36377175327289657,0.08139165167701981,0.6591549295774648,355,7.3,10.1,10.5,7.5,15.3,5.6,8.3,5.1,13.4,4.9,2.0,1.6
collect_one_size11_comp0.2_grid8_base_medium,11,0.2,8,medium,base,base,collect_one,3,7,4,4,5,3,8,1,1,1,1,1,10,0,0,10,2.0,1.0,11.3,0.831858407079646,0.9393939393939394,0.7875,0.0,0.7188811188811189,0.49722270753832787,0.75,0.2876112055538258,0.18289141414141413,0.831858407079646,113,5.4,1.1,4.4,0.3,4.0,3.5,2.1,0.5,1.0,0.4,0.3,0.4
collect_one_size11_comp0.2_grid9_base_medium,11,0.2,9,medium,base,base,collect_one,6,3,5,5,10,7,10,1,1,1,1,1,10,0,0,10,2.0,1.0,23.7,0.70042194092827,0.8260869565217391,0.6701570680628273,0.0,0.4314063951134889,0.9036713963595936,0.6570544118495478,0.28285289558360655,0.09651614725144146,0.70042194092827,237,8.2,5.0,5.8,4.7,9.4,6.2,4.0,3.1,4.7,2.9,0.5,0.5
collect_one_size11_comp0.4_grid0_base_medium,11,0.4,0,medium,base,base,collect_one,11,5,12,12,11,3,8,1,1,1,1,1,10,0,4,6,1.6,1.0,29.2,0.6061643835616438,0.8307692307692308,0.5418502202643172,0.0,0.4541372241495584,1.1260833345832666,0.42424242424242425,0.2902047147317198,0.10913311545722613,0.6061643835616438,292,9.5,7.7,4.1,7.9,12.5,4.9,6.6,4.2,11.2,3.8,1.0,1.8
collect_one_size11_comp0.4_grid1_base_medium,11,0.4,1,medium,base,base,collect_one,10,13,3,3,3,6,13,1,1,1,1,1,10,0,0,10,2.0,1.0,37.2,0.6424731182795699,0.6779661016949152,0.5808823529411765,0.0,0.35891349790818367,0.8694788582208205,0.3954247340578969,0.3669348267625996,0.12694817767408506,0.6424731182795699,372,12.0,7.9,5.8,10.4,12.0,6.5,9.1,6.5,13.9,6.1,1.8,3.1
collect_one_size11_comp0.4_grid2_base_medium,11,0.4,2,medium,base,base,collect_one,7,3,4,4,8,4,7,1,1,1,1,1,10,0,0,10,2.0,1.0,25.4,0.6299212598425197,0.8947368421052632,0.5833333333333334,0.0,0.3052632329358672,1.0118242913756235,0.2857142857142857,0.29695054880245647,0.1498732521284585,0.6299212598425197,254,6.2,5.1,8.1,6.0,8.9,4.7,4.8,6.0,11.6,6.0,3.5,0.4
collect_one_size11_comp0.4_grid3_base_medium,11,0.4,3,medium,base,base,collect_one,5,11,8,8,3,5,8,1,1,1,1,1,10,0,0,10,2.0,1.0,26.2,0.6106870229007634,0.7808219178082192,0.544973544973545,0.0,0.3148262331786359,0.8096554857335234,0.3548387096774194,0.3015953653105931,0.12702604163704734,0.6106870229007634,262,8.7,7.3,9.1,1.1,12.0,4.2,5.3,3.7,7.8,3.6,1.3,2.2
collect_one_size11_comp0.4_grid4_base_medium,11,0.4,4,medium,base,base,collect_one,9,4,5,5,6,3,7,1,1,1,1,1,10,0,0,10,2.0,1.0,23.2,0.625,0.84,0.5659340659340659,0.0,0.3172936067851242,0.8863258009486598,0.5033985000288462,0.2708341180975085,0.15795027195027192,0.625,232,7.7,4.6,7.9,2.9,7.6,5.7,5.3,3.4,6.4,3.4,1.6,1.1
collect_one_size11_comp0.4_grid5_base_medium,11,0.4,5,medium,base,base,collect_one,6,13,7,7,4,3,10,1,1,1,1,1,10,0,0,10,2.0,1.0,21.3,0.7136150234741784,0.8470588235294118,0.625,0.0,0.4802229002457835,0.5501499498033577,0.5454545454545454,0.32152893224574924,0.03684312320675956,0.7136150234741784,213,6.5,3.8,1.9,9.1,9.5,4.1,4.3,2.4,4.1,2.3,1.4,0.9
collect_one_size11_comp0.4_grid6_base_medium,11,0.4,6,medium,base,base,collect_one,5,8,7,7,5,4,10,1,1,1,1,1,10,0,0,10,2.0,1.0,27.6,0.6739130434782609,0.8,0.6129032258064516,0.0,0.3812714097496706,0.9523286074065771,0.2647058823529412,0.24171568838347982,0.18801864630038,0.6739130434782609,276,4.3,8.4,5.4,9.4,10.7,5.4,5.3,5.0,8.6,4.9,1.3,0.7
collect_one_size11_comp0.4_grid7_base_medium,11,0.4,7,medium,base,base,collect_one,8,6,14,14,9,7,13,1,1,1,1,1,10,0,0,10,2.0,1.0,38.4,0.6536458333333334,0.927536231884058,0.5936507936507937,0.0,0.34159382012400347,0.8902268664464085,0.4692383152330686,0.24498006295181926,0.1022247388626699,0.6536458333333334,384,10.2,3.9,14.7,9.5,19.0,5.2,6.5,6.5,13.5,6.3,2.0,1.1
collect_one_size11_comp0.4_grid8_base_medium,11,0.4,8,medium,base,base,collect_one,12,11,3,3,3,4,15,1,1,1,1,1,10,0,0,10,2.0,1.0,21.2,0.8160377358490566,0.8769230769230769,0.7195121951219512,0.0,0.7189533441835232,0.5508037093244299,0.42424242424242425,0.32340628414178996,0.14267483358392452,0.8160377358490566,212,8.9,3.9,6.6,1.8,10.0,5.3,3.3,1.6,3.3,1.5,0.7,1.6
collect_one_size11_comp0.4_grid9_base_medium,11,0.4,9,medium,base,base,collect_one,9,10,5,5,11,6,16,1,1,1,1,1,10,0,0,10,2.0,1.0,38.3,0.6814621409921671,0.7922077922077922,0.6069868995633187,0.0,0.4328774639300955,0.8790967610923822,0.4528301886792453,0.276333893991623,0.17286022087485378,0.6814621409921671,383,8.6,11.0,12.9,5.6,15.3,8.7,7.2,5.7,12.4,5.5,2.1,1.9
collect_one_size7_comp0.0_grid0_base_medium,7,0.0,0,medium,base,base,collect_one,5,4,3,3,4,3,7,1,1,1,1,1,10,0,0,10,2.0,1.0,13.6,0.7573529411764706,0.9761904761904762,0.6595744680851063,0.0,0.5324338406691348,0.6385834544673943,0.625,0.30205363077868597,0.1547539470333588,0.7573529411764706,136,2.8,3.8,2.5,4.5,5.4,2.4,1.9,2.9,4.4,2.9,1.5,0.0
collect_one_size7_comp0.0_grid1_base_medium,7,0.0,1,medium,base,base,collect_one,5,6,3,3,6,3,9,1,1,1,1,1,10,0,0,10,2.0,1.0,15.4,0.8116883116883117,1.0,0.7040816326530612,0.0,0.5981813039901275,0.8715816845005845,0.7142857142857143,0.2782467813797007,0.10609546849042645,0.8116883116883117,154,3.3,4.2,6.0,1.9,5.6,3.6,4.2,1.0,2.7,0.8,0.9,0.2
collect_one_size7_comp0.0_grid2_base_medium,7,0.0,2,medium,base,base,collect_one,4,4,6,6,3,3,7,1,1,1,1,1,10,0,2,8,1.8,1.0,16.3,0.7055214723926381,0.9534883720930233,0.6166666666666667,0.0,0.4866473729079733,1.0717718801139766,0.6190476190476191,0.2404705584801437,0.11179920297567356,0.7055214723926381,163,5.3,2.3,5.4,3.3,5.0,4.1,4.1,2.1,3.8,2.0,1.4,0.3
collect_one_size7_comp0.0_grid3_base_medium,7,0.0,3,medium,base,base,collect_one,3,3,6,6,5,5,8,1,1,1,1,1,10,0,0,10,2.0,1.0,19.8,0.6818181818181818,0.9411764705882353,0.6280487804878049,0.0,0.41811594202898555,1.2603013015893862,0.7222222222222222,0.30598032386992974,0.23400323804735573,0.6818181818181818,198,6.7,5.3,5.2,2.6,5.9,5.3,4.6,3.0,6.5,2.8,2.0,0.8
collect_one_size7_comp0.0_grid4_base_medium,7,0.0,4,medium,base,base,collect_one,3,3,4,4,7,3,6,1,1,1,1,1,10,0,0,10,2.0,1.0,20.4,0.6323529411764706,0.7678571428571429,0.581081081081081,0.0,0.30335689672646193,1.1335626638103464,0.7,0.35787749987993034,0.2634842241092241,0.6323529411764706,204,7.2,4.9,5.0,3.3,7.4,4.6,4.3,3.1,7.3,2.9,2.6,0.6
collect_one_size7_comp0.0_grid5_base_medium,7,0.0,5,medium,base,base,collect_one,3,5,4,4,7,3,8,1,1,1,1,1,10,0,0,10,2.0,1.0,18.4,0.7119565217391305,0.9423076923076923,0.6212121212121212,0.0,0.45183109288372447,1.0905649076758581,0.7,0.3313981696921375,0.17852737175105599,0.7119565217391305,184,4.0,4.1,3.2,7.1,6.1,6.0,4.1,1.2,4.7,1.1,1.6,0.4
collect_one_size7_comp0.0_grid6_base_medium,7,0.0,6,medium,base,base,collect_one,4,6,4,4,6,4,10,1,1,1,1,1,10,0,0,10,2.0,1.0,14.8,0.8243243243243243,0.9574468085106383,0.7623762376237624,0.0,0.7068482242395286,0.826145041274102,0.7272727272727273,0.42155623841948875,0.1789518562245835,0.8243243243243243,148,4.8,1.7,3.8,4.5,6.2,2.3,4.2,1.1,2.5,1.1,0.6,0.4
collect_one_size7_comp0.0_grid7_base_medium,7,0.0,7,medium,base,base,collect_one,3,6,3,3,4,5,7,1,1,1,1,1,10,0,0,10,2.0,1.0,13.8,0.7318840579710145,0.8947368421052632,0.67,0.0,0.5226799670917318,0.8057957788013261,0.7647058823529411,0.3680766433711466,0.1763682396035337,0.7318840579710145,138,5.4,0.8,4.3,3.3,5.4,3.3,2.7,1.4,2.3,1.4,0.1,0.6
collect_one_size7_comp0.0_grid8_base_medium,7,0.0,8,medium,base,base,collect_one,7,4,3,3,4,5,9,1,1,1,1,1,10,0,0,10,2.0,1.0,12.8,0.8359375,0.8913043478260869,0.8048780487804879,0.0,0.7166958041958041,0.6693746443114058,0.6875,0.36230453758555936,0.24384469696969696,0.8359375,128,1.6,3.2,4.5,3.5,5.9,2.1,2.5,1.3,1.9,1.3,1.1,0.4
collect_one_size7_comp0.0_grid9_base_medium,7,0.0,9,medium,base,base,collect_one,5,4,7,7,4,3,7,1,1,1,1,1,10,0,1,9,1.9,1.0,15.9,0.7169811320754716,1.0,0.6186440677966102,0.0,0.47836988304093564,0.9042564712687512,0.6190476190476191,0.32138244420237694,0.17933155718427723,0.7169811320754716,159,4.9,1.6,5.7,3.7,6.9,3.0,3.8,1.2,3.0,1.2,0.9,0.3
collect_one_size7_comp0.2_grid0_base_medium,7,0.2,0,medium,base,base,collect_one,3,4,5,5,6,3,7,1,1,1,1,1,10,0,0,10,2.0,1.0,17.5,0.6857142857142857,0.8695652173913043,0.6201550387596899,0.0,0.41697964297708545,0.7196643858581127,0.4,0.19266901597044273,0.07473019670388094,0.6857142857142857,175,3.0,3.9,4.1,6.5,7.6,2.3,3.4,3.2,7.2,3.1,2.2,1.1
collect_one_size7_comp0.2_grid1_base_medium,7,0.2,1,medium,base,base,collect_one,4,6,4,4,3,3,7,1,1,1,1,1,10,0,0,10,2.0,1.0,14.4,0.7083333333333334,0.9,0.6063829787234043,0.0,0.5002855477855478,0.5766081700619021,0.5,0.4926732268402892,0.11380471380471377,0.7083333333333334,144,4.6,3.0,2.5,4.3,4.5,5.4,2.5,1.0,2.3,1.0,0.8,1.0
collect_one_size7_comp0.2_grid2_base_medium,7,0.2,2,medium,base,base,collect_one,5,3,6,6,5,7,10,1,1,1,1,1,10,0,0,10,2.0,1.0,19.3,0.7357512953367875,0.8723404255319149,0.6917808219178082,0.0,0.531834757314297,1.041427604834307,0.631578947368421,0.27033002958636415,0.09630237896491767,0.7357512953367875,193,6.3,5.3,5.2,2.5,6.7,4.3,3.9,3.4,5.6,3.3,1.7,0.9
collect_one_size7_comp0.2_grid3_base_medium,7,0.2,3,medium,base,base,collect_one,3,5,6,6,3,3,6,1,1,1,1,1,10,0,0,10,2.0,1.0,13.3,0.706766917293233,0.9375,0.6336633663366337,0.0,0.45661279896574014,0.703677835572789,0.42105263157894735,0.30697418608011845,0.16460177249650934,0.706766917293233,133,4.3,3.4,1.3,4.3,4.1,2.9,4.1,1.2,2.3,1.2,0.9,0.5
collect_one_size7_comp0.2_grid4_base_medium,7,0.2,4,medium,base,base,collect_one,6,4,4,4,3,5,9,1,1,1,1,1,10,0,0,10,2.0,1.0,12.8,0.8203125,0.9318181818181818,0.7619047619047619,0.0,0.7182567432567433,0.44685072745230253,0.4375,0.5206545405932388,0.24590322871572876,0.8203125,128,1.4,4.3,3.3,3.8,4.9,2.0,4.3,0.6,1.5,0.6,0.3,0.8
collect_one_size7_comp0.2_grid5_base_medium,7,0.2,5,medium,base,base,collect_one,3,3,4,4,3,3,6,1,1,1,1,1,10,0,0,10,2.0,1.0,12.1,0.7272727272727273,0.9411764705882353,0.6436781609195402,0.0,0.5114935064935064,0.8097562426696123,0.5294117647058824,0.25444040516214683,0.1631588999236058,0.7272727272727273,121,4.0,1.7,5.3,1.1,3.6,2.5,3.4,1.6,2.8,1.6,1.7,0.5
collect_one_size7_comp0.2_grid6_base_medium,7,0.2,6,medium,base,base,collect_one,3,4,3,3,4,3,7,1,1,1,1,1,10,0,0,10,2.0,1.0,10.4,0.8269230769230769,0.8974358974358975,0.7846153846153846,0.0,0.6911616161616162,0.5933573165449013,0.5625,0.274237176765301,0.15134379509379514,0.8269230769230769,104,1.0,3.1,1.7,4.6,3.8,2.6,2.2,0.8,1.3,0.8,0.7,0.2
collect_one_size7_comp0.2_grid7_base_medium,7,0.2,7,medium,base,base,collect_one,4,4,4,4,7,3,7,1,1,1,1,1,10,0,0,10,2.0,0.9,20.2,0.6435643564356436,0.9761904761904762,0.55625,0.0,0.33740985708477966,0.9591078207011444,0.5625,0.32819940211230575,0.06544425941920136,0.6435643564356436,202,7.3,3.6,4.1,5.2,7.9,4.4,3.3,3.6,6.7,3.5,3.6,0.8
collect_one_size7_comp0.2_grid8_base_medium,7,0.2,8,medium,base,base,collect_one,3,7,4,4,4,4,7,1,1,1,1,1,10,0,0,10,2.0,1.0,16.1,0.7329192546583851,0.8653846153846154,0.6697247706422018,0.0,0.44407324014135163,0.9220348025893534,0.55,0.24895851625694831,0.1614897602397602,0.7329192546583851,161,3.8,4.8,5.9,1.6,5.7,3.5,3.1,2.8,4.1,2.8,1.8,0.3
collect_one_size7_comp0.2_grid9_base_medium,7,0.2,9,medium,base,base,collect_one,3,6,3,3,6,5,9,1,1,1,1,1,10,0,0,10,2.0,1.0,15.1,0.7615894039735099,0.8260869565217391,0.7333333333333333,0.0,0.6130676289654617,0.7697098096782219,0.41681477279283236,0.2681369127950397,0.15565804145349602,0.7615894039735099,151,5.6,1.1,3.8,4.6,7.4,3.2,2.0,1.5,3.3,1.5,0.9,1.3
collect_one_size7_comp0.4_grid0_base_medium,7,0.4,0,medium,base,base,collect_one,8,7,3,3,6,3,10,1,1,1,1,1,10,0,0,10,2.0,0.9,21.2,0.7169811320754716,0.958904109589041,0.5899280575539568,0.0,0.454669818485608,1.1405370017131793,0.4,0.298606794743794,0.24821159834317727,0.7169811320754716,212,3.1,7.2,5.5,5.4,6.6,5.0,4.6,4.0,8.4,4.0,2.6,0.7
collect_one_size7_comp0.4_grid1_base_medium,7,0.4,1,medium,base,base,collect_one,3,7,6,6,3,5,6,1,1,1,1,1,10,0,0,10,2.0,1.0,16.1,0.6770186335403726,0.9375,0.6124031007751938,0.0,0.38370600414078676,0.8065160667009157,0.4,0.20478377624161023,0.1332754282754283,0.6770186335403726,161,2.8,4.8,6.2,2.3,5.9,3.7,3.7,1.8,4.4,1.7,1.1,0.3
collect_one_size7_comp0.4_grid2_base_medium,7,0.4,2,medium,base,base,collect_one,3,3,4,4,5,3,6,1,1,1,1,1,10,0,0,10,2.0,1.0,16.4,0.6829268292682927,0.9166666666666666,0.6171875,0.0,0.385013013302487,0.9730187567482627,0.2857142857142857,0.27259835583862607,0.19817759879871677,0.6829268292682927,164,4.9,6.0,1.0,4.5,6.6,2.9,2.8,3.1,6.2,2.9,2.0,0.8
