lambda,gamma,alpha,mean_manhattan_dist
0.4,2,2.5,2.5
0.3,4,2.5,2.5365853658536586
0.5,1,1.5,2.548780487804878
0.5,1,1.84,2.548780487804878
0.5,4,3.5,2.548780487804878
0.4,1,1.84,2.5609756097560976
0.5,2,2.5,2.5609756097560976
0.4,6,3.5,2.573170731707317
0.5,6,3.5,2.573170731707317
0.2,8,2.5,2.5853658536585367
0.3,1,1.84,2.5853658536585367
0.3,6,2.5,2.5853658536585367
0.4,4,1.84,2.5853658536585367
0.4,10,1.84,2.5853658536585367
0.15,10,2.5,2.597560975609756
0.2,10,2.5,2.597560975609756
0.4,1,1.5,2.597560975609756
0.5,6,2.5,2.597560975609756
0.5,8,1.5,2.597560975609756
0.5,8,2.5,2.597560975609756
0.5,10,2.5,2.597560975609756
0.15,6,2.5,2.6097560975609757
0.15,8,2.5,2.6097560975609757
0.15,8,3.5,2.6097560975609757
0.15,10,3.5,2.6097560975609757
0.2,6,2.5,2.6097560975609757
0.2,10,3.5,2.6097560975609757
0.3,2,2.5,2.6097560975609757
0.3,10,3.5,2.6097560975609757
0.4,2,3.5,2.6097560975609757
0.4,4,3.5,2.6097560975609757
0.4,8,1.84,2.6097560975609757
0.5,4,2.5,2.6097560975609757
0.5,8,1.84,2.6097560975609757
0.5,10,1.84,2.6097560975609757
0.2,4,2.5,2.6219512195121952
0.2,6,3.5,2.6219512195121952
0.2,8,3.5,2.6219512195121952
0.3,2,3.5,2.6219512195121952
0.3,6,1.84,2.6219512195121952
0.3,6,3.5,2.6219512195121952
0.3,8,3.5,2.6219512195121952
0.4,6,1.84,2.6219512195121952
0.4,6,2.5,2.6219512195121952
0.5,1,2.5,2.6219512195121952
0.5,2,1.84,2.6219512195121952
0.5,6,1.84,2.6219512195121952
0.5,10,1.5,2.6219512195121952
0.5,10,3.5,2.6219512195121952
0.15,6,3.5,2.6341463414634148
0.3,1,1.5,2.6341463414634148
0.3,2,1.84,2.6341463414634148
0.3,4,3.5,2.6341463414634148
0.3,8,2.5,2.6341463414634148
0.4,4,2.5,2.6341463414634148
0.4,8,2.5,2.6341463414634148
0.4,10,2.5,2.6341463414634148
0.5,6,1.5,2.6341463414634148
0.3,4,1.84,2.6463414634146343
0.3,10,2.5,2.6463414634146343
0.4,1,2.5,2.6463414634146343
0.4,8,3.5,2.6463414634146343
0.1,8,2.5,2.658536585365854
0.1,10,2.5,2.658536585365854
0.15,4,2.5,2.658536585365854
0.2,4,3.5,2.658536585365854
0.3,8,1.84,2.658536585365854
0.5,2,1.5,2.658536585365854
0.5,4,1.84,2.658536585365854
0.5,8,3.5,2.658536585365854
0.1,6,2.5,2.6707317073170733
0.1,10,3.5,2.6707317073170733
0.2,6,1.84,2.6707317073170733
0.3,1,2.5,2.6707317073170733
0.4,2,1.84,2.6707317073170733
0.5,2,3.5,2.6707317073170733
0.1,8,3.5,2.682926829268293
0.2,2,1.84,2.682926829268293
0.3,10,1.84,2.682926829268293
0.2,8,1.84,2.6951219512195124
0.4,1,3.5,2.6951219512195124
0.4,4,1.5,2.6951219512195124
0.4,6,1.5,2.6951219512195124
0.4,8,1.5,2.6951219512195124
0.5,4,1.5,2.6951219512195124
0.15,2,1.84,2.707317073170732
0.3,1,3.5,2.707317073170732
0.4,10,1.5,2.707317073170732
0.4,10,3.5,2.707317073170732
0.5,1,3.5,2.707317073170732
0.1,4,3.5,2.7195121951219514
0.1,6,3.5,2.7195121951219514
0.4,6,1.0,2.7195121951219514
0.5,4,1.0,2.7195121951219514
0.5,6,1.0,2.7195121951219514
0.5,8,1.0,2.7195121951219514
0.5,10,1.0,2.7195121951219514
0.15,2,2.5,2.731707317073171
0.15,2,3.5,2.731707317073171
0.15,4,3.5,2.731707317073171
0.2,2,2.5,2.731707317073171
0.2,4,1.84,2.731707317073171
0.1,4,2.5,2.7439024390243905
0.15,4,1.84,2.7439024390243905
0.2,2,3.5,2.7439024390243905
0.3,6,1.5,2.7439024390243905
0.3,8,1.5,2.7439024390243905
0.3,10,1.5,2.7439024390243905
0.4,4,1.0,2.7439024390243905
0.4,8,1.0,2.7439024390243905
0.05,8,2.5,2.7560975609756095
0.15,10,1.5,2.7560975609756095
0.2,10,1.5,2.7560975609756095
0.2,10,1.84,2.7560975609756095
0.3,4,1.5,2.7560975609756095
0.4,10,1.0,2.7560975609756095
0.05,6,3.5,2.768292682926829
0.1,4,1.84,2.768292682926829
0.15,8,1.84,2.768292682926829
0.15,10,1.84,2.768292682926829
0.2,6,1.5,2.768292682926829
0.2,8,1.5,2.768292682926829
0.3,8,1.0,2.768292682926829
0.05,10,2.5,2.7804878048780486
0.1,6,1.84,2.7804878048780486
0.2,4,1.5,2.7804878048780486
0.3,10,1.0,2.7804878048780486
0.3,2,1.5,2.792682926829268
0.5,2,1.0,2.792682926829268
