lambda,gamma,alpha,mean_manhattan_dist
0.0,8,1.0,0.7844827586206896
0.0,10,1.0,0.8103448275862069
0.0,2,1.0,0.8189655172413793
0.0,4,1.0,0.8189655172413793
0.0,6,1.0,0.8189655172413793
0.0,10,1.5,0.8189655172413793
0.0,6,1.5,0.8275862068965517
0.0,8,1.5,0.8275862068965517
0.0,4,1.5,0.8448275862068966
0.0,10,1.84,0.8620689655172413
0.0,2,1.5,0.8706896551724138
0.0,4,1.84,0.8706896551724138
0.0,6,1.84,0.8706896551724138
0.0,8,1.84,0.8706896551724138
0.0,1,1.0,0.8793103448275862
0.0,2,1.84,0.9396551724137931
0.0,4,2.5,0.9396551724137931
0.0,10,2.5,0.9482758620689655
0.0,1,1.5,0.9568965517241379
0.0,1,1.84,0.9568965517241379
0.0,2,2.5,0.9568965517241379
0.0,6,2.5,0.9568965517241379
0.0,8,2.5,0.9568965517241379
0.0,8,3.5,0.9827586206896551
0.0,10,3.5,0.9827586206896551
0.0,4,3.5,0.9913793103448276
0.0,6,3.5,0.9913793103448276
0.0,1,2.5,1.0
0.0,1,3.5,1.0086206896551724
0.0,2,3.5,1.0258620689655173
0.05,2,1.0,1.2758620689655173
0.05,1,1.0,1.2844827586206897
0.05,4,1.0,1.4482758620689655
0.05,6,1.0,1.456896551724138
0.1,1,1.0,1.456896551724138
0.15,1,1.0,1.5689655172413792
0.05,8,1.0,1.5775862068965518
0.05,10,1.0,1.5948275862068966
0.1,2,1.0,1.603448275862069
0.1,4,1.0,1.6379310344827587
0.2,1,1.0,1.6551724137931034
0.4,1,1.0,1.6637931034482758
0.5,1,1.0,1.6724137931034482
0.3,1,1.0,1.6810344827586208
0.5,2,1.5,1.6810344827586208
0.5,4,1.0,1.6810344827586208
0.1,8,1.0,1.6982758620689655
0.1,6,1.0,1.706896551724138
0.15,6,1.0,1.706896551724138
0.1,10,1.0,1.7155172413793103
0.5,2,1.0,1.7155172413793103
0.4,4,1.0,1.7241379310344827
0.4,2,1.0,1.7327586206896552
0.3,1,3.5,1.7413793103448276
0.4,1,1.84,1.7413793103448276
0.5,1,1.5,1.7413793103448276
0.15,4,1.0,1.75
0.3,2,1.0,1.75
0.5,4,1.5,1.75
0.5,6,1.5,1.75
0.3,1,1.5,1.7586206896551724
0.3,1,2.5,1.7586206896551724
0.4,1,3.5,1.7672413793103448
0.5,1,1.84,1.7672413793103448
0.5,6,1.0,1.7672413793103448
0.5,8,1.5,1.7672413793103448
0.15,2,1.0,1.7758620689655173
0.3,1,1.84,1.7758620689655173
0.4,1,1.5,1.7758620689655173
0.4,2,1.5,1.7758620689655173
0.5,8,1.0,1.7758620689655173
0.5,10,1.5,1.7844827586206897
0.15,10,1.0,1.793103448275862
0.4,1,2.5,1.793103448275862
0.5,2,1.84,1.793103448275862
0.5,1,3.5,1.8017241379310345
0.3,4,1.0,1.8103448275862069
0.4,6,1.0,1.8103448275862069
0.5,1,2.5,1.8103448275862069
0.15,8,1.0,1.8189655172413792
0.5,4,1.84,1.8189655172413792
0.5,10,1.84,1.8189655172413792
0.4,4,1.5,1.8275862068965518
0.05,10,1.5,1.8362068965517242
0.15,10,1.5,1.8362068965517242
0.4,10,1.5,1.8362068965517242
0.4,8,1.5,1.8448275862068966
0.2,1,1.5,1.853448275862069
0.2,4,1.0,1.853448275862069
0.3,2,1.5,1.853448275862069
0.4,2,1.84,1.853448275862069
0.5,2,2.5,1.853448275862069
0.5,2,3.5,1.853448275862069
0.5,10,1.0,1.853448275862069
0.2,1,3.5,1.8620689655172413
0.3,4,1.5,1.8620689655172413
0.4,6,1.5,1.8620689655172413
0.4,8,1.0,1.8620689655172413
0.05,1,1.5,1.8706896551724137
0.15,1,1.84,1.8706896551724137
0.3,8,1.5,1.8706896551724137
0.05,2,1.5,1.8793103448275863
0.5,6,1.84,1.8793103448275863
0.05,8,1.5,1.8879310344827587
0.15,8,1.5,1.8879310344827587
0.2,1,2.5,1.8879310344827587
0.5,8,1.84,1.8879310344827587
0.1,6,1.5,1.896551724137931
0.15,1,3.5,1.896551724137931
0.3,6,1.0,1.896551724137931
0.3,6,1.5,1.896551724137931
0.4,8,1.84,1.896551724137931
0.5,10,2.5,1.896551724137931
0.05,4,1.5,1.9051724137931034
0.2,10,1.5,1.9051724137931034
0.3,2,3.5,1.9051724137931034
0.3,10,1.5,1.9051724137931034
0.4,2,3.5,1.9051724137931034
0.4,2,2.5,1.9137931034482758
0.2,2,1.5,1.9224137931034482
0.2,8,1.0,1.9224137931034482
0.05,6,1.5,1.9310344827586208
0.15,4,1.5,1.9310344827586208
0.2,1,1.84,1.9310344827586208
0.2,2,1.0,1.9310344827586208
0.2,6,1.5,1.9310344827586208
0.2,8,1.5,1.9310344827586208
0.4,10,1.84,1.9310344827586208
0.1,4,1.5,1.9396551724137931
0.15,6,1.5,1.9396551724137931
0.4,4,1.84,1.9396551724137931
0.4,6,1.84,1.9396551724137931
0.4,10,1.0,1.9396551724137931
0.5,4,2.5,1.9396551724137931
0.1,1,2.5,1.9482758620689655
0.15,1,1.5,1.9482758620689655
0.15,2,1.5,1.9482758620689655
0.2,4,1.5,1.9482758620689655
0.3,2,2.5,1.9482758620689655
0.4,10,2.5,1.9482758620689655
0.1,1,1.84,1.956896551724138
0.2,6,1.0,1.956896551724138
0.3,2,1.84,1.956896551724138
0.1,2,1.5,1.9655172413793103
0.2,10,1.84,1.9655172413793103
0.2,10,1.0,1.9741379310344827
0.5,4,3.5,1.9741379310344827
0.05,2,1.84,1.9827586206896552
0.1,1,1.5,1.9827586206896552
0.15,1,2.5,1.9827586206896552
0.2,8,1.84,1.9827586206896552
0.3,10,1.84,1.9827586206896552
0.4,8,2.5,1.9827586206896552
0.5,6,3.5,1.9827586206896552
0.2,4,1.84,2.0
0.3,8,1.0,2.0
0.3,10,1.0,2.0
0.4,6,2.5,2.0
0.5,8,2.5,2.0
0.5,8,3.5,2.0
0.1,1,3.5,2.0086206896551726
0.3,8,1.84,2.0086206896551726
0.4,4,2.5,2.0086206896551726
0.5,6,2.5,2.0086206896551726
0.1,8,1.5,2.0172413793103448
0.1,10,1.5,2.0172413793103448
0.2,2,3.5,2.0258620689655173
0.4,4,3.5,2.0258620689655173
0.5,10,3.5,2.0258620689655173
0.2,6,1.84,2.0344827586206895
0.05,1,1.84,2.043103448275862
0.3,6,1.84,2.043103448275862
0.3,8,3.5,2.043103448275862
0.4,8,3.5,2.043103448275862
0.2,2,1.84,2.0517241379310347
0.3,6,3.5,2.0517241379310347
0.15,10,1.84,2.060344827586207
0.3,4,1.84,2.060344827586207
0.4,6,3.5,2.060344827586207
0.4,10,3.5,2.060344827586207
0.15,2,3.5,2.0689655172413794
0.3,4,3.5,2.0689655172413794
0.05,8,1.84,2.0775862068965516
0.05,10,1.84,2.0775862068965516
0.15,8,1.84,2.0775862068965516
0.15,6,1.84,2.086206896551724
0.05,4,1.84,2.0948275862068964
0.3,4,2.5,2.0948275862068964
0.3,8,2.5,2.0948275862068964
0.15,2,1.84,2.103448275862069
0.2,8,2.5,2.103448275862069
0.2,10,2.5,2.103448275862069
0.1,2,1.84,2.1120689655172415
0.15,4,1.84,2.1120689655172415
0.3,10,2.5,2.1120689655172415
0.1,2,3.5,2.1206896551724137
0.1,4,1.84,2.1206896551724137
0.1,10,1.84,2.1206896551724137
0.2,6,2.5,2.1206896551724137
0.15,2,2.5,2.1293103448275863
0.2,10,3.5,2.1293103448275863
0.3,6,2.5,2.1293103448275863
0.05,1,3.5,2.1379310344827585
0.05,6,1.84,2.1379310344827585
0.1,6,1.84,2.1379310344827585
0.1,8,1.84,2.1379310344827585
0.15,10,2.5,2.146551724137931
0.05,1,2.5,2.1551724137931036
0.2,2,2.5,2.1551724137931036
0.15,8,2.5,2.163793103448276
0.2,8,3.5,2.1724137931034484
0.3,10,3.5,2.1724137931034484
0.1,2,2.5,2.1810344827586206
0.05,2,3.5,2.189655172413793
0.2,4,3.5,2.189655172413793
0.15,6,2.5,2.1982758620689653
0.2,4,2.5,2.1982758620689653
0.2,6,3.5,2.206896551724138
0.15,4,2.5,2.2241379310344827
0.1,4,2.5,2.2413793103448274
0.1,10,2.5,2.2413793103448274
0.05,2,2.5,2.25
0.15,4,3.5,2.2586206896551726
0.15,6,3.5,2.2586206896551726
0.1,4,3.5,2.2672413793103448
0.1,6,2.5,2.2844827586206895
0.15,8,3.5,2.2844827586206895
0.15,10,3.5,2.293103448275862
0.1,6,3.5,2.3017241379310347
0.1,8,2.5,2.3017241379310347
0.05,8,2.5,2.3189655172413794
0.1,8,3.5,2.3189655172413794
0.1,10,3.5,2.3275862068965516
0.05,6,2.5,2.336206896551724
0.05,10,2.5,2.3448275862068964
0.05,8,3.5,2.353448275862069
0.05,10,3.5,2.353448275862069
0.05,4,3.5,2.3706896551724137
0.05,6,3.5,2.396551724137931
0.05,4,2.5,2.4051724137931036
